* ユニット図鑑/501〜1000 [#ffbcea7f]

- ステータスの数値はLv1のもので、ユニット図鑑から確認できます。
-- ステータスは予告なく変更される可能性もあります。
-- 一部では計算によって算出しています。
- スキル欄の()内は習得Lvを表しています。ユニット図鑑で表示されるスキルはLv1のもの。
- テーブル(表)のヘッダから並び替えが可能です。
- 各ユニットのストーリーは「[[ストーリー]]」のページヘ。
- (編集者へ) ローマ数字が一文字になった記号は文字化けの可能性があるので使用を避けること。代わりにアルファベットの「I」や「V」を使うこと。

:&color(black,#eeeeee){ショートカット類};|
No.[[501>#no501]] - [[551>#no551]] - [[601>#no601]] - [[651>#no651]] - [[701>#no701]] - [[751>#no751]] - [[801>#no801]]- [[851>#no851]]
No.001〜500 > [[ユニット図鑑]]

#sortabletable(sort=Number|String|Number|String|String|String|Number|Number|Number|Number|Number|Number|String|String|String){{
|~No.|~名称|~★|~武|~主&br;属|~副&br;属|~HP|~攻撃|~回復|~進化pt|~最大Lv|~必要&br;進化pt|~パーティスキル|~アクティブスキル|~パネルスキル|h
|639|[紅竜王]レッドラム|6|槍|BGCOLOR(#f1bba6):火|-|1000|2100|800|60|80|-|ドラゴニック・フォース(1)|ワン・ナイト・ドリーム(1)|-|
|640|アニエス・オブリージュ|6|杖|BGCOLOR(#f1f1a6):光|-|1150|1450|1600|60|50|500|闇属性軽減LV1(1)&br;闇属性軽減LV2(20)&br;闇属性軽減LV3(40)&br;|エリクサー(1)&br;|-|
|641|[すっぴん]アニエス|6|杖|BGCOLOR(#f1f1a6):光|-|1150|1450|1600|60|99|-|闇属性軽減LV4(1)&br;|エリクサー(1)&br;|-|
|642|[ヴァルキリー]アニエス|6|槍|BGCOLOR(#f1f1a6):光|-|1050|1850|700|60|99|-|槍の心得(1)&br;|ジャンプ(1)&br;|-|
|643|[スーパースター]アニエス|6|剣|BGCOLOR(#f1f1a6):光|-|1900|1550|1100|60|99|-|ボルテージ(1)&br;|パワー・オブ・ラブ(1)&br;|-|
|644|ティズ・オーリア|6|弓|BGCOLOR(#bba6f1):闇|-|1450|1100|1100|60|50|500|光属性軽減LV1(1)&br;光属性軽減LV2(20)&br;光属性軽減LV3(40)&br;|エリクサー(1)&br;|-|
|645|[すっぴん]ティズ|6|弓|BGCOLOR(#bba6f1):闇|-|1600|1200|1200|60|99|-|光属性軽減LV4(1)&br;|エリクサー(1)&br;|-|
|646|[シーフ]ティズ|6|剣|BGCOLOR(#bba6f1):闇|-|1950|1600|900|60|99|-|快刀乱麻(1)&br;|ハート泥棒(1)&br;|-|
|647|[黒魔道士]ティズ|6|杖|BGCOLOR(#bba6f1):闇|-|1050|1700|1600|60|99|-|ロッドの心得(1)&br;|ダーク(1)&br;|-|
|648|リングアベル|6|槍|BGCOLOR(#a6f1f1):水|-|950|1800|650|50|50|500|火属性軽減LV1(1)&br;火属性軽減LV2(20)&br;火属性軽減LV3(40)&br;|エリクサー(1)&br;|-|
|649|[すっぴん]リングアベル|6|槍|BGCOLOR(#a6f1f1):水|-|950|1850|800|60|99|-|火属性軽減LV4(1)&br;|エリクサー(1)&br;|-|
|650|[狩人]リングアベル|6|弓|BGCOLOR(#a6f1f1):水|-|1650|1250|1150|60|99|-|アクアドラゴンキラーI(1)&br;|マルチ・バースト(1)&br;|-|
//
|&aname(no651);651|[商人]リングアベル|6|杖|BGCOLOR(#a6f1f1):水|-|1100|1550|1600|60|99|-|入手金額アップ(1)&br;|テイクオーバー(1)&br;|-|
|652|イデア・リー|6|剣|BGCOLOR(#f1bba6):火|-|1800|1550|850|60|50|500|水属性軽減LV1(1)&br;水属性軽減LV2(20)&br;水属性軽減LV3(40)&br;|エリクサー(1)&br;|-|
|653|[すっぴん]イデア|6|剣|BGCOLOR(#f1bba6):火|-|1900|1600|900|60|99|-|水属性軽減LV4(1)&br;|エリクサー(1)&br;|-|
|654|[モンク]イデア|6|槍|BGCOLOR(#f1bba6):火|-|3400|1200|100|60|99|-|天衣無縫(1)&br;|鳳凰翔(1)&br;|-|
|655|[ヴァンパイア]イデア|6|杖|BGCOLOR(#f1bba6):火|-|1250|1550|1500|60|99|-|血の渇望(1)&br;|ゲノムドレイン(1)&br;|-|
|656|[暗黒騎士]アナゼル|6|剣|BGCOLOR(#bba6f1):闇|-|1850|1600|900|60|99|-|逆境(1)&br;|サガク剣(1)&br;|-|
|657|[憐花王]ロザリア|5|杖|BGCOLOR(#f1f1a6):光|-|1100|1000|1600|50|50|800|ドレイン・フィールドI(1)&br;|ヒール・ライトI(1)&br;|-|
|658|[解花王]ロザリア|6|杖|BGCOLOR(#f1f1a6):光|-|1600|2000|2250|60|80|-|ドレイン・フィールド?(?)&br;|ヒール・ライト?(?)&br;|-|
|659|[黒炎将]カグラ|5|剣|BGCOLOR(#f1bba6):火|-|2000|1600|850|50|50|800|クロス・カウンターI(1)&br;|カウンター・アシストI(1)&br;|-|
|660|[黒焔将]カグラ|6|剣|BGCOLOR(#f1bba6):火|-|2800|2300|1250|60|80|-|クロス・カウンター?(?)&br;|カウンター・アシスト?(?)&br;|-|
|661|[吸血王]ブラッド|5|剣|BGCOLOR(#bba6f1):闇|-|2100|1500|1000|50|50|800|ダブル・ブラストI(1)&br;|ネオ・グラビティI(1)&br;|-|
|662|[吸結王]ブラッド|6|剣|BGCOLOR(#bba6f1):闇|-|2900|2150|1500|60|80|-|ダブル・ブラスト?(?)&br;|ネオ・グラビティ?(?)&br;|-|
|663|[無機王]北条みなと|5|弓|BGCOLOR(#a6f1f1):水|-|1400|1800|1000|50|50|800|ソウルサイエンスI(1)&br;|-|魂の誓い(1)&br;|
|664|[有機王]北条みなと|6|弓|BGCOLOR(#a6f1f1):水|-|1800|2300|1350|60|80|-|ソウルサイエンスII(?)&br;ソウルサイエンスIII(80)&br;|-|魂の誓い(1)&br;|
|665|[悪鬼王]ディアブロ|5|槍|BGCOLOR(#f1bba6):火|-|900|1900|800|50|50|800|ドラゴン・スレイヤーI(1)&br;|-|最古の魂(1)&br;|
|666|[悪魔王]ディアブロ|6|槍|BGCOLOR(#f1bba6):火|-|1300|2600|1200|60|80|-|ドラゴン・スレイヤー?(?)&br;|-|最古の魂(1)&br;|
|667|[てつおう]えむ|5|弓|BGCOLOR(#f1f1a6):光|-|1550|1250|1200|50|99|-|スキル・セーブ(1)&br;|-|鋼鉄の意志(1)&br;|
|668|[えいゆうおう]ぜっと|5|槍|BGCOLOR(#a6f1f1):水|-|1000|1800|850|50|99|-|バリア・サポート(1)&br;バリア・アップ(20)&br;バリア・チャージ(?)&br;バリア・バースト(?)&br;バリア・マスター(60)&br;バリア・マスター+(80)&br;|-|英雄の魂(1)&br;英雄王の魂(80)&br;|
|669|[発迷王]トトル|5|弓|BGCOLOR(#bba6f1):闇|-|1500|1400|950|50|50|800|ソウル・コマンダーI(1)&br;ソウル・コマンダーII(20)&br;|-|発迷(1)&br;|
|670|[飛行王]トトル|6|弓|BGCOLOR(#bba6f1):闇|-|1900|1750|1300|60|80|-|ソウル・コマンダーIII(1)&br;ソウル・コマンダーIV(30)&br;ソウル・コマンダーV(60)&br;|-|発迷(1)&br;|
|671|[冬王]アイス|5|槍|BGCOLOR(#a6f1f1):水|-|500|1300|300|50|50|800|ソウル・サポート(1)&br;ソウル・アップ(30)&br;ソウル・チャージ(50)&br;|-|おくりもの(1)&br;|
|672|[冬季王]アイス|6|槍|BGCOLOR(#a6f1f1):水|-|800|2200|600|60|80|-|ソウル・バースト(1)|-|おくりもの(1)|
|673|[樹王]キオ|5|杖|BGCOLOR(#f1f1a6):光|-|1300|1400|1400|50|50|800|エレメント・サポート(1)&br;エレメント・アップ(?)&br;|-|四属の舞(1)&br;|
|674|[木樹王]キオ|6|杖|BGCOLOR(#f1f1a6):光|-|1700|2750|2000|60|80|-|エレメント・チャージ(1)&br;エレメント・バースト(20)&br;エレメント・マスター(50)&br;エレメント・マスター+(80)&br;|-|四属の舞(1)&br;|
|675|[鰐王]クロコダイル|5|剣|BGCOLOR(#a6f1f1):水|-|2300|2300|100|50|50|800|なし(1)|-|なし(1)|
|676|[剣鰐王]クロコダイル|6|剣|BGCOLOR(#a6f1f1):水|-|3400|3400|100|60|80|-|なし(1)|-|なし(1)|
|677|うましろ(合成用)|5|杖|BGCOLOR(#FFFFFF):無|-|500|500|500|200|1|-|なし|なし|-|
|678|[伯爵王]ダルタニアン|5|杖|BGCOLOR(#f1f1a6):光|-|1100|1600|1200|50|50|800|ダブル・ブラストI(1)&br;ダブル・ブラストII(?)&br;|クロス・オーバー(1)&br;|-|
|679|[燃書王]ダルタニアン|6|杖|BGCOLOR(#f1f1a6):光|-|1500|2500|2100|60|80|-|ダブル・ブラストVI(?)&br;|クロス・オーバー(1)&br;|-|
|680|[水姫王]ウィンディーネ|5|槍|BGCOLOR(#a6f1f1):水|-|850|1950|900|50|50|800|パワー・ステップI(1)&br;パワー・ステップII(?)&br;|ネオ・エンハンスI(1)&br;ネオ・エンハンスII(?)&br;|-|
|681|[海姫王]ウィンディーネ|6|槍|BGCOLOR(#a6f1f1):水|-|1450|2550|1100|60|80|-|パワー・ステップIII(1)&br;パワー・ステップIV(?)&br;パワー・ステップV(?)&br;|ネオ・エンハンスIII(1)&br;ネオ・エンハンスIV(?)&br;ネオ・エンハンスV(?)&br;|-|
|682|[白鎧王]ダンデリオン|5|弓|BGCOLOR(#f1f1a6):光|-|1500|1800|800|50|50|800|バーサーク・フィールドI(1)&br;バーサーク・フィールドII(?)&br;|-|修練の構え(1)&br;|
|683|[輝鎧王]ダンデリオン|6|弓|BGCOLOR(#f1f1a6):光|-|2000|2300|1100|60|80|-|バーサーク・フィールドIV(?)&br;|-|修練の構え・改(1)&br;|
|684|[甘魅王]ココル|5|剣|BGCOLOR(#f1f1a6):光|-|2150|1400|850|50|50|800|スキル・コピー(1)&br;|-|魂の誓い(1)&br;|
|685|[菓司王]ココル|6|剣|BGCOLOR(#f1f1a6):光|-|2900|2150|1100|60|80|-|スキル・コピー(1)&br;|-|魂の誓い(1)&br;|
|686|[飢王]ハルフィリア|5|剣|BGCOLOR(#bba6f1):闇|-|2200|1450|900|50|50|800|ドラゴン・スレイヤーI(1)&br;|-|点穴(1)&br;|
|687|[死飢王]ハルフィリア|6|剣|BGCOLOR(#bba6f1):闇|-|2850|2250|1200|60|80|-|ドラゴン・スレイヤーIV(?)&br;ドラゴン・スレイヤーV(?)&br;ドラゴン・スレイヤーVI(?)&br;|-|点穴(1)&br;|
|688|[望神]アポロン|6|槍|BGCOLOR(#f1bba6):火|-|900|2100|500|60|80|1300|エレメント・チャージ(1)&br;エレメント・マスター+(?)&br;|メテオ・ストームI(1)&br;メテオ・ストームII(30)&br;メテオ・ストームIII(60)&br;|-|
|689|[希神]アポロン|6|槍|BGCOLOR(#f1bba6):火|BGCOLOR(#a6f1f1):水|1000|2200|1000|60|99|-|エレメント・マスター+(1)&br;|メテオ・ストームIV(1)&br;メテオ・ストームV(?)&br;メテオ・ストームVI(?)&br;|-|
|690|[火精霊]ジン|5|剣|BGCOLOR(#f1bba6):火|-|1900|1300|800|50|50|800|アクア・イレイズ(1)&br;|-|回復の踊り(1)&br;|
|691|[炎精霊]ジン|6|剣|BGCOLOR(#f1bba6):火|-|2700|2000|1200|60|80|-|アクア・イレイズ(1)&br;|-|回復の踊り(1)&br;|
|692|[水精霊]シヴァ|5|杖|BGCOLOR(#a6f1f1):水|-|900|1000|1350|50|50|800|フレイム・イレイズ(1)&br;|ミューテッド・ヘルI(1)&br;ミューテッド・ヘルII(?)&br;ミューテッド・ヘルIII(?)&br;|-|
|693|[氷精霊]シヴァ|6|杖|BGCOLOR(#a6f1f1):水|-|1300|2100|1950|60|80|-|フレイム・イレイズ(1)&br;|ミューテッド・ヘルIII(1)&br;ミューテッド・ヘルIV(?)&br;ミューテッド・ヘルV(?)&br;ミューテッド・ヘルVI(?)&br;|-|
|694|[兵器]α|5|槍|BGCOLOR(#ffffff):無|-|1000|1800|900|50|50|800|ドラゴン・バスター(1)&br;ドラゴン・イーター(20)&br;|ソウル・オブ・ゼロ(1)&br;|-|
|695|[滅魂兵器]α|6|槍|BGCOLOR(#ffffff):無|-|1150|2450|1200|60|80|-|ドラゴン・キラー(1)&br;ドラゴン・キラー+(?)&br;|ソウル・オブ・ゼロ(1)&br;|-|
|696|||||-||||||||||
|697|||||-||||||||||
|698|||||-||||||||||
|699|||||-||||||||||
|700|[書僧]シュウスイ|5|杖|BGCOLOR(#f1bba6):火|-|800|1100|1350|50|50|800|修羅道(1)&br;|天道(1)&br;|-|
//
|&aname(no701);701|[夢僧]シュウスイ|6|杖|BGCOLOR(#f1bba6):火|-|1100|2100|2000|60|80|-|修羅道(1)&br;|天道(1)&br;|-|
|702|レッド・サハラン|6|剣|BGCOLOR(#f1bba6):火|-|1700|1650|1100|60|99|-|ダハーカI(1)&br;|凄腕ハンター(1)&br;|-|
|703|エル・メルゼ|6|杖|BGCOLOR(#f1f1a6):光|-|1200|1450|1600|60|99|-|契約者の一族(1)&br;|マタタンブ・ドリンク(1)&br;|-|
|704|ショコラ・ジェラート|6|槍|BGCOLOR(#a6f1f1):水|-|850|1850|600|60|99|-|ショコラ・サポートI(1)&br;ショコラ・サポートIV(60)&br;|ガリボーン(1)&br;|-|
|705|ベルーガ・ダミアン|6|弓|BGCOLOR(#f1bba6):火|-|1700|1200|1200|60|99|-|サラマンデルI(1)&br;|バスターキャノン(1)&br;|-|
|706|オペラ・クランツ|6|杖|BGCOLOR(#bba6f1):闇|-|1200|1800|1550|60|99|-|ティアマトI(1)&br;|ティアマト一斉射撃(1)&br;|-|
|707|[忘却王]ジオ|5|剣|BGCOLOR(#a6f1f1):水|-|2000|1600|900|50|50|800|ドラゴン・キラー(1)&br;|ドラゴン・エンハンスI(1)&br;|-|
|708|[絶忘王]ジオ|6|剣|BGCOLOR(#a6f1f1):水|-|2600|2350|1200|60|80|-|ドラゴン・デストロイ(1)&br;|ドラゴン・エンハンスIII(1)&br;|-&br;|
|709|[牢獄王]ヴェル|5|弓|BGCOLOR(#f1bba6):火|-|1600|1500|1100|50|50|800|アーチャー・ロードI(1)&br;|アンリミテッド・アロー(1)&br;|-|
|710|[監獄王]ヴェル|6|弓|BGCOLOR(#f1bba6):火|-|2100|1900|1350|60|80|-|アーチャー・ロード?(1)&br;|アンリミテッド・アロー(1)&br;|-|
|711|[玩具王]ピノ|5|槍|BGCOLOR(#f1f1a6):光|-|850|1900|1200|50|50|800|コメット・ブレイカーI(1)&br;|-|魂の誓い(1)&br;|
|712|[壊具王]ピノ|6|槍|BGCOLOR(#f1f1a6):光|-|1000|2550|1450|60|80|-|コメット・ブレイカーIII(1)&br;|-|魂の誓い(1)&br;|
|713|[妖王]べんてん|5|杖|BGCOLOR(#bba6f1):闇|-|1200|1350|1300|50|50|800|トリプル・サポートI(1)&br;トリプル・サポートII(30)&br;|-|生命の祈り(1)&br;|
|714|[女天王]べんてん|6|杖|BGCOLOR(#bba6f1):闇|-|1700|2050|2000|60|80|-|トリプル・サポートIII(1)&br;トリプル・サポートIV(30)&br;トリプル・サポートV(80)&br;|-|生命の祈り(1)&br;|
|715|[狩人]ギース|5|槍|BGCOLOR(#bba6f1):闇|-|650|1950|600|50|50|800|ドラゴン・バスター(1)&br;|デリリアム・ポイムI(1)&br;|-|
|716|[仮人]ギース|6|槍|BGCOLOR(#bba6f1):闇|-|950|2500|900|60|80|-|ドラゴン・キラー(1)&br;|デリリアム・ポイムIII(1)&br;|-|
|717|[学者]クリストフ|5|杖|BGCOLOR(#f1f1a6):光|-|900|1000|1300|50|50|800|ソウル・サイエンスI(1)&br;|ヒール・ライトI(1)&br;|-|
|718|[古学者]クリストフ|6|杖|BGCOLOR(#f1f1a6):光|-|1300|1950|2000|60|80|-|ソウル・サイエンスII(1)&br;|ヒール・ライトII(1)&br;|-|
|719|[守人]ナズナ|5|弓|BGCOLOR(#a6f1f1):水|-|1550|1350|950|50|50|800|ファントム・ブラストI(1)&br;ファントム・ブラストII(30?)&br;|エネミー・スキャン(1)&br;|-|
|720|[獣守人]ナズナ|6|弓|BGCOLOR(#a6f1f1):水|-|1950|1700|1300|60|80|-|ファントム・ブラストII(1)&br;|エネミー・スキャン(1)&br;|-|
|721|[せいれいおう]るふぇい|5|杖|BGCOLOR(#f1f1a6):光|-|1450|1050|1450|50|99|-|ホーリー・ガード(1)&br;|-|一閃(1)&br;|
|722|||||-||||||||||
|723|[隻眼王]ザイフリート|6|剣|BGCOLOR(#bba6f1):闇|-|3350|2450|1200|60|99|-|ドラゴン・デストロイ(1)&br;|アルケイン・ヘルVII(1)&br;|-|
|724|[熔巌王]ザイフリート|6|剣|BGCOLOR(#bba6f1):闇|BGCOLOR(#f1bba6):火|2850|2250|1000|60|99|-|フレイムドラゴンキラーI(1)&br;フレイムドラゴンキラーII(?)&br;フレイムドラゴンキラーIII(?)&br;フレイムドラゴンキラーIV(?)&br;|アルケイン・カオス(1)&br;|-|
|725|[氷巌王]ザイフリート|6|剣|BGCOLOR(#bba6f1):闇|BGCOLOR(#a6f1f1):水|2850|2250|1000|60|99|- |アクアドラゴンキラーI(1)&br;アクアドラゴンキラーII(?)&br;アクアドラゴンキラーIII(?)&br;アクアドラゴンキラーIV(?)&br;|アルケイン・カオス(1)&br;|-|
|726|[烈焔神]ヤマト|6|剣|BGCOLOR(#f1bba6):火|-|3400|2300|1600|60|99|-|フレイム・ライフVII(1)&br;|火之迦具土神(1)&br;|-|
|727|[烈光神]ヤマト|6|剣|BGCOLOR(#f1bba6):火|BGCOLOR(#f1f1a6):光|2900|2050|1400|60|99|-|カオス・ライフ(火光)(1)&br;|月詠之刃(1)&br;|-|
|728|[烈光神]ヤマト|6|剣|BGCOLOR(#f1bba6):火|BGCOLOR(#bba6f1):闇|2900|2050|1400|60|99|-|カオス・ライフ(火闇)(1)&br;|須佐能之刃(1)&br;|-|
|729|[輝天将]ブリュンヒルデ|6|槍|BGCOLOR(#f1f1a6):光|-|1750|2550|1500|60|99|-|アルティメットソウル(1)&br;|アブソリュート・ブレイブ(1)&br;|-|
|730|[輝焔将]ブリュンヒルデ|6|槍|BGCOLOR(#f1f1a6):光|BGCOLOR(#f1bba6):火|1300|2300|1350|60|99|-|カオスソウル(1)&br;|アブソリュート・ブレイブ(1)&br;|-|
|731|[輝水将]ブリュンヒルデ|6|槍|BGCOLOR(#f1f1a6):光|BGCOLOR(#a6f1f1):水|1300|2300|1350|60|99|-|カオスソウル(1)&br;|アブソリュート・ブレイブ(1)&br;|-|
|732|[瀧騎将]ヴァルザーク|6|槍|BGCOLOR(#a6f1f1):水|-|2000|2600|1300|60|99|-|レッドデモリッシュ(1)&br;|アンリミテッド・ハート(1)&br;|-|
|733|[白瀧将]ヴァルザーク|6|槍|BGCOLOR(#a6f1f1):水|BGCOLOR(#f1f1a6):光|1550|2350|1150|60|99|-|カオスデモリッシュ(火闇)(1)&br;|アンリミテッド・ハート(1)&br;|-|
|734|[黒瀧将]ヴァルザーク|6|槍|BGCOLOR(#a6f1f1):水|BGCOLOR(#bba6f1):闇|1550|2350|1150|60|99|-|カオスデモリッシュ(火光)(1)&br;|アンリミテッド・ハート(1)&br;|-|
|735|[両義王]あまぎ|6|弓|BGCOLOR(#f1bba6):火|-|2100|2150|1900|60|99|-|アルティメットアーチャー(1)&br;|ハイ・エンハンスVII(1)&br;|-|
|736|[白陽王]あまぎ|6|弓|BGCOLOR(#f1bba6):火|BGCOLOR(#f1f1a6):光|1800|1900|1700|60|99|-|カオスアーチャー(1)&br;|ハイ・エンハンスVII(1)&br;|-|
|737|[黒陰王]あまぎ|6|弓|BGCOLOR(#f1bba6):火|BGCOLOR(#bba6f1):闇|1800|1900|1700|60|99|-|カオスアーチャー(1)&br;|ハイ・エンハンスVII(1)&br;|-|
|738|[非憐王]カルマ|6|弓|BGCOLOR(#bba6f1):闇|-|2250|2300|1700|60|99|-|アルティメットトレジャー(1)&br;|バトル・エスケープ(1)&br;|-|
|739|[非業王]カルマ|6|弓|BGCOLOR(#bba6f1):闇|BGCOLOR(#f1bba6):火|1950|1950|1500|60|99|-|カオストレジャー(1)&br;|バトル・エスケープ(1)&br;|-|
|740|[悲漣王]カルマ|6|弓|BGCOLOR(#bba6f1):闇|BGCOLOR(#a6f1f1):水|1950|1950|1500|60|99|-|カオストレジャー(1)&br;|バトル・エスケープ(1)&br;|-|
|741|[神老]マクスウェル|6|杖|BGCOLOR(#a6f1f1):水|-|1850|3000|2150|60|99|-|アルティメットエレメント(1)&br;|アンリミテッド・メイジ(1)&br;|-|
|742|[幻老]マクスウェル|6|杖|BGCOLOR(#a6f1f1):水|BGCOLOR(#f1f1a6):光|1650|2600|1950|60|99|-|カオスエレメント(1)&br;|アンリミテッド・メイジ(1)&br;|-|
|743|[玄老]マクスウェル|6|杖|BGCOLOR(#a6f1f1):水|BGCOLOR(#bba6f1):闇|1650|2600|1950|60|99|-|カオスエレメント(1)&br;|アンリミテッド・メイジ(1)&br;|-|
|744|[女鼎王]イザベラ|6|杖|BGCOLOR(#f1f1a6):光|-|1800|2500|2350|60|99|-|バージンロード(1)&br;|アイアン・メイデンVII(1)&br;|-|
|745|[女焔王]イザベラ|6|杖|BGCOLOR(#f1f1a6):光|BGCOLOR(#f1bba6):火|1600|2100|2150|60|99|-|バージンロード(1)&br;|アイアンメイデン・カオス(1)&br;|-|
|746|[女瀧王]イザベラ|6|杖|BGCOLOR(#f1f1a6):光|BGCOLOR(#a6f1f1):水|1600|2100|2150|60|99|-|バージンロード(1)&br;|アイアンメイデン・カオス(1)&br;|-|
|747|[境解神]ディオーネ|6|剣|BGCOLOR(#a6f1f1):水|-|3150|2350|1900|60|99|-|アルティメットブラスト(1)&br;|ツイン・ブレイドVI(1)&br;|-|
|748|[至界神]ディオーネ|6|剣|BGCOLOR(#a6f1f1):水|BGCOLOR(#f1f1a6):光|2650|2150|1600|60|99|-|カオスブラスト(1)&br;|ツイン・ブレイドVI(1)&br;|-|
|749|[始界神]ディオーネ|6|剣|BGCOLOR(#a6f1f1):水|BGCOLOR(#bba6f1):闇|2650|2150|1600|60|99|-|カオスブラスト(1)&br;|ツイン・ブレイドVI(1)&br;|-|
|750|[天廻神]ヴァルトルス|6|剣|BGCOLOR(#f1f1a6):光|-|3500|2300|1400|60|99|-|アルティメットカウンター(1)&br;|ヴェルセデス・フィールド(1)&br;|-|
//
|&aname(no751);751|[天戒神]ヴァルトルス|6|剣|BGCOLOR(#f1f1a6):光|BGCOLOR(#f1bba6):火|3000|2050|1200|60|99|-|カオスカウンター(1)&br;|ヴェルセデス・フィールド(1)&br;|-|
|752|[天壊神]ヴァルトルス|6|剣|BGCOLOR(#f1f1a6):光|BGCOLOR(#a6f1f1):水|3000|2050|1200|60|99|-|カオスカウンター(1)&br;|ヴェルセデス・フィールド(1)&br;|-|
|753|[獄焔将]ナタル|6|槍|BGCOLOR(#f1bba6):火|-|1650|2650|1350|60|99|-|アルティメットカウンター(1)&br;|アンリミテッド・ランス(1)&br;|-|
|754|[耀焔将]ナタル|6|槍|BGCOLOR(#f1bba6):火|BGCOLOR(#f1f1a6):光|1200|2450|1200|60|99|-|カオスカウンター(1)&br;|アンリミテッド・ランス(1)&br;|-|
|755|[暗焔将]ナタル|6|槍|BGCOLOR(#f1bba6):火|BGCOLOR(#bba6f1):闇|1200|2450|1200|60|99|-|カオスカウンター(1)&br;|アンリミテッド・ランス(1)&br;|-|
|756|[那天将]ネフティリア|6|槍|BGCOLOR(#bba6f1):闇|-|1850|2700|1100|60|99|-|アルティメットブラスト(1)&br;|パネル・コピー(1)&br;|-|
|757|[破天将]ネフティリア|6|槍|BGCOLOR(#bba6f1):闇|BGCOLOR(#f1bba6):火|1400|2500|1000|60|99|-|カオスブラスト(1)&br;|パネル・コピー(1)&br;|-|
|758|[酔天将]ネフティリア|6|槍|BGCOLOR(#bba6f1):闇|BGCOLOR(#a6f1f1):水|1400|2500|1000|60|99|-|カオスブラスト(1)&br;|パネル・コピー(1)&br;|-|
|759|[風颯王]シェルクス|6|弓|BGCOLOR(#f1f1a6):光|-|2200|2200|2200|60|99|-|アルティメットステップ(1)&br;|ソウル・フリー(1)&br;|-|
|760|[焔風王]シェルクス|6|弓|BGCOLOR(#f1f1a6):光|BGCOLOR(#f1bba6):火|1850|1900|1950|60|99|-|カオスステップ(1)&br;|ソウル・フリー(1)&br;|-|
|761|[瀧風王]シェルクス|6|弓|BGCOLOR(#f1f1a6):光|BGCOLOR(#a6f1f1):水|1850|1900|1950|60|99|-|カオスステップ(1)&br;|ソウル・フリー(1)&br;|-|
|762|[慈機王]フラウ|6|弓|BGCOLOR(#a6f1f1):水|-|2100|1900|2250|60|99|-|アルティメットバースト(1)&br;|グラビティ・アタックVII(1)&br;|-|
|763|[輝機王]フラウ|6|弓|BGCOLOR(#a6f1f1):水|BGCOLOR(#f1f1a6):光|1800|1600|2000|60|99|-|カオスバースト(1)&br;|グラビティ・アタックVII(1)&br;|-|
|764|[騎機王]フラウ|6|弓|BGCOLOR(#a6f1f1):水|BGCOLOR(#bba6f1):闇|1800|1600|2000|60|99|-|カオスバースト(1)&br;|グラビティ・アタックVII(1)&br;|-|
|765|[廻造王]ノア|6|杖|BGCOLOR(#bba6f1):闇|-|1900|3100|1950|60|99|-|アルティメットリカバリー(1)&br;|パーフェクト・スキャン(1)&br;|-|
|766|[禍学王]ノア|6|杖|BGCOLOR(#bba6f1):闇|BGCOLOR(#f1bba6):火|1700|2700|1750|60|99|-|カオスリカバリー(1)&br;|パーフェクト・スキャン(1)&br;|-|
|767|[渦学王]ノア|6|杖|BGCOLOR(#bba6f1):闇|BGCOLOR(#a6f1f1):水|1700|2700|1750|60|99|-|カオスリカバリー(1)&br;|パーフェクト・スキャン(1)&br;|-|
|768|[絶界神]あまてらす|6|杖|BGCOLOR(#f1bba6):火|-|2050|2500|2250|60|99|-|アルティメットゼロ(1)&br;|セイント・ヒールVII(1)&br;|-|
|769|[緋界神]あまてらす|6|杖|BGCOLOR(#f1bba6):火|BGCOLOR(#f1f1a6):光|1850|2100|2000|60|99|-|カオスゼロ(1)&br;|セイント・ヒールVII(1)&br;|-|
|770|[偽界神]あまてらす|6|杖|BGCOLOR(#f1bba6):火|BGCOLOR(#bba6f1):闇|1850|2100|2000|60|99|-|カオスゼロ(1)&br;|セイント・ヒールVII(1)&br;|-|
|771|[妃王]マリアンヌ|5|弓|BGCOLOR(#f1f1a6):光|-|1500|1650|1100|50|50|800|リーサルウェポン・デルタ(1)&br;|ヒール・ライトI(1)&br;|-|
|772|[白妃王]マリアンヌ|6|弓|BGCOLOR(#f1f1a6):光|-|2000|2150|1350|60|80|-|リーサルウェポン・デルタ(1)&br;|ヒール・ライト?(1)&br;|-|
|773|[鏡渦王]ウォルター|5|杖|BGCOLOR(#a6f1f1):水|-|1250|1350|1350|50|50|800|ドラゴン・スレイヤーI(1)&br;ドラゴン・スレイヤーII(?)&br;|メタモルフォーゼ(1)&br;|-|
|774|[鏡禍王]ウォルター|6|杖|BGCOLOR(#a6f1f1):水|-|1750|2050|2050|60|80|-|ドラゴン・スレイヤーIII(1)&br;ドラゴン・スレイヤーIV(?)&br;ドラゴン・スレイヤーV(?)&br;ドラゴン・スレイヤーVI(?)&br;|メタモルフォーゼ(1)&br;|-|
|775|[泥王]ドロロ|5|槍|BGCOLOR(#bba6f1):闇|-|1000|1900|1100|50|50|800|ダークネス・ライフI(1)&br;|-|吸収の一撃(1)&br;|
|776|[大泥王]ドロロ|6|槍|BGCOLOR(#bba6f1):闇|-|1250|2550|1250|60|80|-|ダークネス・ライフIII(1)&br;ダークネス・ライフIV(?)&br;ダークネス・ライフV(?)&br;ダークネス・ライフVI(?)&br;|-|吸収の一撃(1)&br;|
