* ガンホーコラボダンジョン [#k544443a]

|~名称			|~スタミナ|~バトル|~取得コイン|~取得EXP|~EXP効率|
||RIGHT:|RIGHT:|RIGHT:|RIGHT:|RIGHT:|c
|実りの洞 地獄級（テクニカル）	|50|10|25500|15240|&color(#080){''304''};|
|実りの洞 超級（テクニカル）		|40|10|18600|10970|&color(#080){''274''};|
|実りの洞 上級（テクニカル）		|25|10|10300|5930|&color(#080){''237''};|
|実りの洞 中級（テクニカル）		|15|5|2230|1450|&color(#080){''97''};|

-ボスの孤軍奮闘は連続攻撃も3倍の威力になるので注意
- 2014/08/18 ダンジョンリニューアル
-- 新モンスター追加、中ボス変更
-- 鵜飼孫六、キャシー・クレイジーの進化後が追加
-- ドロップス、サラマンダー・アルマ、バルーンペンペンは出現しなくなった

|~面|~名前	|~属性|~攻撃力|~後|~HP|~防御|~備考|
|5|2014/03/31～2014/04/06||
|4|2014/01/14～2014/01/15||
|3|2013/09/13～2013/09/15||
|2|2013/07/01～2013/07/04||
|1|2013/04/10～2013/04/14||

}}
#div(end)
//折りたたみ終了

** スキル上げ用途 [#h0adfc82]

|~素材|~スキル（最大Lv）|~対象モンスター|
|&mons594;|クイックヒール (6)|&mons996; &mons997; &mons2017; &mons2023; &mons708;|
|&mons595;|スプレッドキャッツ (8)|&mons888; &mons1613; &mons947;|
|&mons1519;|ライトニングハウル (6)|&mons1354;|
|&mons1520;|ブラッドハウル (6)|&mons1358;|
|&mons1521;|不撓不屈の信義 (7)|&mons1242; &mons1717;|
|&mons1523;|ミラージュフレア (6)|&mons1356;|
|&mons665;|氷の呪い (11)|&mons1258; &mons1040;|
|&mons663;|暗黒の呪い (11)|&mons1000; &mons1001;|
|&mons347;|防御態勢・木 (7)|&mons1116; &mons1117; &mons759;|
|&mons506;|ガイアブレス (23)|&mons482; &mons1921; &mons267; &mons330; &mons331; &mons332; &mons333; &mons1096;|
|&mons507;|ゴッドガイアブレス (13)|&mons410;|

** チーム編成例 [#madf5fc1]

*** [[スコア機能>Tips/スコア機能]] Sランク [#e7be073a]

- 150000でSランク

|~Ver|~チーム編成（左右がリーダー）|~HP|~石|~備考|
|||RIGHT:|RIGHT:||c
|v7.0|&mons912; &mons796; &mons718; &mons045; &mons044; &mons1240;| |0|ソニ呂布PT。平均レアリティ3.3で150,500点。|

//| |&mons000; &mons000; &mons000; &mons000; &mons000; &mons748;| | | |

//折りたたみ開始
#div(start,dvPCExpand)
#style(class=pageLabel){{
過去の編成例
}}
#style(class=pageList){{

|~Ver|~チーム編成（左右がリーダー）|~HP|~石|~備考|
|||RIGHT:|RIGHT:||c
|v6.4|&mons647; &mons796; &mons718; &mons165; &mons165; &mons647;| |0|サタンPT。レア度加点だけで136000点入る。|
|v6.4|&mons995; &mons089; &mons587; &mons162; &mons691; &mons995;| |0|光ホルスPT。&br;道中で安定して16倍以上を出せれば平均コンボ6、クリアターン15程度でスコア150000を超える。&br;割と簡単。エキドナは10F用で残りのサブはご自由に。|

}}
#div(end)
//折りたたみ終了

- 編成の参考に。左右がリーダー。HPはフレンドを含めたもの。
- レベルやスキルレベルは省略しているので&color(#dc143c){あくまで参考程度に。};

* コメント [#hd9a1b78]

#pcomment

RIGHT:&color(#dc143c){事前に[[コメントポリシー]]を参照してください。};
