* モンスター図鑑 [#de0cefec]

&color(,#eee){ページ内リンク};
[[001>#no001]] - [[101>#no101]] - [[201>#no201]] - [[301>#no301]] - [[401>#no401]] - [[501>#no501]] - [[601>#no601]] - [[701>#no701]] - [[801>#no801]] - [[901>#no901]] - [[1001>#no1001]] - [[1101>#no1101]] - [[1201>#no1201]] - [[1301>#no1301]] - [[1401>#no1401]] - [[1501>#no1501]] - [[1601>#no1601]] - [[1701>#no1701]] - [[1801>#no1801]] - [[1901>#no1901]] - [[2001>#no2001]] - [[2101>#no2101]] - [[2201>#no2201]] - [[2301>#no2301]] - [[2401>#no2401]] - [[2501>#no2501]] - [[2601>#no2601]] - [[2701>#no2701]] - [[2801>#no2801]] - [[2901>#no2901]] - [[3001>#no3101]] - [[3101>#no3101]] - [[3201>#no3201]]- [[3301>#no3301]]- [[3401>#no3401]]- [[3501>#no3501]]- [[3601>#no3601]]- [[3701>#no3701]]- [[3801>#no3801]]]]- [[3901>#no3901]]]]- [[4001>#no4001]]]]

#style(class=enableFilter){{
|~No|~名称			|~タイプ|~属性|h
|0504|[[アザラシくん>モンスター図鑑/0504]]|バランス|BGCOLOR(#a6f1f1):水|
|0505|[[セイウチさん>モンスター図鑑/0505]]|バランス|BGCOLOR(#a6f1f1):水|
|0506|[[ゼリーエンジェル>モンスター図鑑/0506]]|バランス|BGCOLOR(#bbf1a6):木|
|0507|[[ザ・ゼリーエンジェルズ>モンスター図鑑/0507]]|バランス|BGCOLOR(#bbf1a6):木|
|0508|[[バルーンペンペン>モンスター図鑑/0508]]|バランス|BGCOLOR(#f1f1a6):光|
|0509|[[カイトペンペン>モンスター図鑑/0509]]|バランス|BGCOLOR(#f1f1a6):光|
|0510|[[ギョロリ>モンスター図鑑/0510]]|バランス|BGCOLOR(#bba6f1):闇|
|0511|[[デイビルアイ>モンスター図鑑/0511]]|バランス|BGCOLOR(#bba6f1):闇|
|0512|[[剛腕の巨人・ギガンテス>モンスター図鑑/0512]]|体力|BGCOLOR(#f1bba6):火|
|0513|[[蒼覇王・カイゼルジークフリート>モンスター図鑑/0513]]|体力|BGCOLOR(#a6f1f1):水|
|0514|[[大英雄・モアクーフーリン>モンスター図鑑/0514]]|バランス|BGCOLOR(#bbf1a6):木|
|0515|[[戦乙女・プリンセスヴァルキリー>モンスター図鑑/0515]]|回復|BGCOLOR(#f1f1a6):光|
|0516|[[魔王・ヴァンパイアロード>モンスター図鑑/0516]]|バランス/悪魔|BGCOLOR(#bba6f1):闇|
|0517|[[プレゼントBOX（火）>モンスター図鑑/0517]]|強化合成用|BGCOLOR(#f1f1a6):光|
|0518|[[プレゼントBOX（水）>モンスター図鑑/0518]]|強化合成用|BGCOLOR(#f1f1a6):光|
|0519|[[プレゼントBOX（木）>モンスター図鑑/0519]]|強化合成用|BGCOLOR(#f1f1a6):光|
|0520|[[ノエルドラゴン・ルージュ>モンスター図鑑/0520]]|強化合成用|BGCOLOR(#f1bba6):火|
|0521|[[ノエルドラゴン・ブルー>モンスター図鑑/0521]]|強化合成用|BGCOLOR(#a6f1f1):水|
|0522|[[ノエルドラゴン・ヴェール>モンスター図鑑/0522]]|強化合成用|BGCOLOR(#bbf1a6):木|
|0523|[[アカムギドラ>モンスター図鑑/0523]]|強化合成用|BGCOLOR(#f1bba6):火|
|0524|[[アオムギドラ>モンスター図鑑/0524]]|強化合成用|BGCOLOR(#a6f1f1):水|
|0525|[[ミドムギドラ>モンスター図鑑/0525]]|強化合成用|BGCOLOR(#bbf1a6):木|
|0526|[[狩人>モンスター図鑑/0526]]|攻撃|BGCOLOR(#f1bba6):火|
|0527|[[最強装備・狩人>モンスター図鑑/0527]]|攻撃|BGCOLOR(#f1bba6):火火|
|0528|[[からくり士>モンスター図鑑/0528]]|回復/マシン|BGCOLOR(#a6f1f1):水|
|0529|[[最強装備・からくり士>モンスター図鑑/0529]]|回復/マシン|BGCOLOR(#a6f1f1):水水|
|0530|[[フェンサー>モンスター図鑑/0530]]|バランス|BGCOLOR(#bba6f1):闇|
|0531|[[最強装備・フェンサー>モンスター図鑑/0531]]|バランス|BGCOLOR(#bba6f1):闇闇|
|0532|[[狩人【サンタ】>モンスター図鑑/0532]]|攻撃|BGCOLOR(#f1bba6):火光|
|0533|[[最強装備・狩人【サンタ】>モンスター図鑑/0533]]|攻撃/神|BGCOLOR(#f1bba6):火光|
|0534|[[からくり士【サンタ】>モンスター図鑑/0534]]|回復/マシン|BGCOLOR(#a6f1f1):水光|
|0535|[[最強装備・からくり士【サンタ】>モンスター図鑑/0535]]|回復/マシン/神|BGCOLOR(#a6f1f1):水光|
|0536|[[フェンサー【サンタ】>モンスター図鑑/0536]]|バランス|BGCOLOR(#bba6f1):闇光|
|0537|[[最強装備・フェンサー【サンタ】>モンスター図鑑/0537]]|バランス/神|BGCOLOR(#bba6f1):闇光|
|0538|[[アレクサンター>モンスター図鑑/0538]]|体力|BGCOLOR(#f1f1a6):光|
|0539|[[究極召喚・アレクサンター>モンスター図鑑/0539]]|体力|BGCOLOR(#f1f1a6):光光|
|0540|[[風林火山龍・シンゲン>モンスター図鑑/0540]]|ドラゴン/体力|BGCOLOR(#f1bba6):火|
|0541|[[毘沙門龍・ケンシン>モンスター図鑑/0541]]|ドラゴン/攻撃|BGCOLOR(#a6f1f1):水|
|0542|[[独眼竜・マサムネ>モンスター図鑑/0542]]|ドラゴン/攻撃|BGCOLOR(#bbf1a6):木|
|0543|[[太閤龍・ヒデヨシ>モンスター図鑑/0543]]|ドラゴン/体力|BGCOLOR(#f1f1a6):光|
|0544|[[第六天魔龍・ノブナガ>モンスター図鑑/0544]]|ドラゴン/攻撃|BGCOLOR(#bba6f1):闇|
|0545|[[火の下忍>モンスター図鑑/0545]]|攻撃|BGCOLOR(#f1bba6):火|
|0546|[[火の中忍>モンスター図鑑/0546]]|攻撃|BGCOLOR(#f1bba6):火|
|0547|[[水の下忍>モンスター図鑑/0547]]|攻撃|BGCOLOR(#a6f1f1):水|
|0548|[[水の中忍>モンスター図鑑/0548]]|攻撃|BGCOLOR(#a6f1f1):水|
|0549|[[木の下忍>モンスター図鑑/0549]]|攻撃|BGCOLOR(#bbf1a6):木|
|0550|[[木の中忍>モンスター図鑑/0550]]|攻撃|BGCOLOR(#bbf1a6):木|
|0551|[[光の下忍>モンスター図鑑/0551]]|攻撃|BGCOLOR(#f1f1a6):光|
|0552|[[光の中忍>モンスター図鑑/0552]]|攻撃|BGCOLOR(#f1f1a6):光|
|0553|[[闇の下忍>モンスター図鑑/0553]]|攻撃|BGCOLOR(#bba6f1):闇|
|0554|[[闇の中忍>モンスター図鑑/0554]]|攻撃|BGCOLOR(#bba6f1):闇|
|0555|[[望月千代女>モンスター図鑑/0555]]|バランス|BGCOLOR(#f1bba6):火|
|0556|[[紅焔の巫女・望月千代女>モンスター図鑑/0556]]|バランス|BGCOLOR(#f1bba6):火|
|0557|[[初芽局>モンスター図鑑/0557]]|回復|BGCOLOR(#a6f1f1):水|
|0558|[[蒼扇の夜叉・初芽局>モンスター図鑑/0558]]|回復|BGCOLOR(#a6f1f1):水|
|0559|[[猿飛佐助>モンスター図鑑/0559]]|攻撃|BGCOLOR(#bbf1a6):木|
|0560|[[旋風の神童・猿飛佐助>モンスター図鑑/0560]]|攻撃|BGCOLOR(#bbf1a6):木|
|0561|[[風魔小太郎>モンスター図鑑/0561]]|体力|BGCOLOR(#f1f1a6):光|
|0562|[[雷角の頭領・風魔小太郎>モンスター図鑑/0562]]|体力|BGCOLOR(#f1f1a6):光|
|0563|[[服部半蔵>モンスター図鑑/0563]]|攻撃|BGCOLOR(#bba6f1):闇|
|0564|[[朧夜の闇忍・服部半蔵>モンスター図鑑/0564]]|攻撃|BGCOLOR(#bba6f1):闇|
|0565|[[石川五右衛門>モンスター図鑑/0565]]|体力|BGCOLOR(#f1bba6):火|
|0566|[[天下の大泥棒・石川五右衛門>モンスター図鑑/0566]]|体力|BGCOLOR(#f1bba6):火|
|0567|[[アレス>モンスター図鑑/0567]]|神|BGCOLOR(#f1bba6):火|
|0568|[[戦軍神・アレス>モンスター図鑑/0568]]|神|BGCOLOR(#f1bba6):火火|
|0569|[[ヘルメス>モンスター図鑑/0569]]|神|BGCOLOR(#a6f1f1):水|
|0570|[[商業神・ヘルメス>モンスター図鑑/0570]]|神|BGCOLOR(#a6f1f1):水水|
|0571|[[アルテミス>モンスター図鑑/0571]]|神|BGCOLOR(#bbf1a6):木|
|0572|[[狩猟神・アルテミス>モンスター図鑑/0572]]|神|BGCOLOR(#bbf1a6):木木|
|0573|[[アポロン>モンスター図鑑/0573]]|神|BGCOLOR(#f1f1a6):光|
|0574|[[光明神・アポロン>モンスター図鑑/0574]]|神|BGCOLOR(#f1f1a6):光光|
|0575|[[ペルセポネ>モンスター図鑑/0575]]|神|BGCOLOR(#bba6f1):闇|
|0576|[[冥府神・ペルセポネ>モンスター図鑑/0576]]|神|BGCOLOR(#bba6f1):闇闇|
|0577|[[キンムギドラ>モンスター図鑑/0577]]|強化合成用|BGCOLOR(#f1f1a6):光|
|0578|[[クロムギドラ>モンスター図鑑/0578]]|強化合成用|BGCOLOR(#bba6f1):闇|
|0579|[[ウィルオーウィスプ>モンスター図鑑/0579]]|攻撃|BGCOLOR(#f1bba6):火|
|0580|[[焔の霊魂・ウィルオーウィスプ>モンスター図鑑/0580]]|攻撃|BGCOLOR(#f1bba6):火|
|0581|[[ケルピー>モンスター図鑑/0581]]|バランス|BGCOLOR(#a6f1f1):水|
|0582|[[湖の幻馬・ケルピー>モンスター図鑑/0582]]|バランス|BGCOLOR(#a6f1f1):水|
|0583|[[トレント>モンスター図鑑/0583]]|体力|BGCOLOR(#bbf1a6):木|
|0584|[[森の賢人・トレント>モンスター図鑑/0584]]|体力|BGCOLOR(#bbf1a6):木|
|0585|[[ピクシー>モンスター図鑑/0585]]|回復|BGCOLOR(#f1f1a6):光|
|0586|[[光の妖精・ピクシー>モンスター図鑑/0586]]|回復|BGCOLOR(#f1f1a6):光|
|0587|[[ワーウルフ>モンスター図鑑/0587]]|攻撃|BGCOLOR(#bba6f1):闇|
|0588|[[月夜の魔人・ワーウルフ>モンスター図鑑/0588]]|攻撃|BGCOLOR(#bba6f1):闇|
|0589|[[キングセブンドラゴン>モンスター図鑑/0589]]|強化合成用|BGCOLOR(#f1bba6):火|
|0590|[[キングイレブンドラゴン>モンスター図鑑/0590]]|強化合成用|BGCOLOR(#bbf1a6):木|
|0591|[[モーグリ＆カーバンクル>モンスター図鑑/0591]]|回復|BGCOLOR(#f1f1a6):光|
|0592|[[究極召喚・モーグリ＆カーバンクル>モンスター図鑑/0592]]|回復|BGCOLOR(#f1f1a6):光光|
|0593|[[エンジェリング>モンスター図鑑/0593]]|強化合成用|BGCOLOR(#f1bba6):火|
|0594|[[アークエンジェリング>モンスター図鑑/0594]]|強化合成用|BGCOLOR(#a6f1f1):水|
|0595|[[デビルリング>モンスター図鑑/0595]]|強化合成用|BGCOLOR(#bba6f1):闇|
|0596|[[ヘラ・イース>モンスター図鑑/0596]]|神|BGCOLOR(#a6f1f1):水|
|0597|[[覚醒ヘラ・イース>モンスター図鑑/0597]]|悪魔/神|BGCOLOR(#a6f1f1):水闇|
|0598|[[ヘラ・ウルズ>モンスター図鑑/0598]]|神|BGCOLOR(#f1bba6):火|
|0599|[[覚醒ヘラ・ウルズ>モンスター図鑑/0599]]|悪魔/神|BGCOLOR(#f1bba6):火闇|
|0600|[[ピカペンドラ>モンスター図鑑/0600]]|強化合成用|BGCOLOR(#f1f1a6):光|
|0601&aname(no0601);|[[トパペンドラ>モンスター図鑑/0601]]|強化合成用|BGCOLOR(#f1f1a6):光|
|0602|[[ヤミペンドラ>モンスター図鑑/0602]]|強化合成用|BGCOLOR(#bba6f1):闇|
|0603|[[アメペンドラ>モンスター図鑑/0603]]|強化合成用|BGCOLOR(#bba6f1):闇|
|0604|[[メカドン>モンスター図鑑/0604]]|進化用|BGCOLOR(#f1bba6):火|
|0605|[[太鼓の達人！どんちゃん>モンスター図鑑/0605]]|回復|BGCOLOR(#f1f1a6):光|
|0606|[[太鼓神どんちゃん>モンスター図鑑/0606]]|回復/神|BGCOLOR(#f1f1a6):光火|
|0607|[[あついさん>モンスター図鑑/0607]]|攻撃|BGCOLOR(#f1bba6):火|
|0608|[[メラリ！ あついさん>モンスター図鑑/0608]]|攻撃|BGCOLOR(#f1bba6):火|
|0609|[[ホワイトさん>モンスター図鑑/0609]]|回復|BGCOLOR(#a6f1f1):水|
|0610|[[うっとり～ん ホワイトさん>モンスター図鑑/0610]]|回復|BGCOLOR(#a6f1f1):水|
|0611|[[カピバラさん>モンスター図鑑/0611]]|体力|BGCOLOR(#bbf1a6):木|
|0612|[[のぼ～ん カピバラさん>モンスター図鑑/0612]]|体力|BGCOLOR(#bbf1a6):木水|
|0613|[[ひだまりさん>モンスター図鑑/0613]]|バランス|BGCOLOR(#f1f1a6):光|
|0614|[[ふらわ～ん ひだまりさん>モンスター図鑑/0614]]|バランス|BGCOLOR(#f1f1a6):光木|
|0615|[[リーゼントくん>モンスター図鑑/0615]]|バランス|BGCOLOR(#bba6f1):闇|
|0616|[[ブンブン リーゼントくん>モンスター図鑑/0616]]|バランス|BGCOLOR(#bba6f1):闇|
|0617|[[超キングルビードラゴン>モンスター図鑑/0617]]|強化合成用|BGCOLOR(#f1bba6):火|
|0618|[[超キングサファイアドラゴン>モンスター図鑑/0618]]|強化合成用|BGCOLOR(#a6f1f1):水|
|0619|[[超キングエメラルドドラゴン>モンスター図鑑/0619]]|強化合成用|BGCOLOR(#bbf1a6):木|
|0620|[[大天使・ウリエル>モンスター図鑑/0620]]|神|BGCOLOR(#f1bba6):火光|
|0621|[[神炎の熾天使・ウリエル>モンスター図鑑/0621]]|神|BGCOLOR(#f1bba6):火光|
|0622|[[大天使・ガブリエル>モンスター図鑑/0622]]|神|BGCOLOR(#a6f1f1):水光|
|0623|[[神託の大天使・ガブリエル>モンスター図鑑/0623]]|神|BGCOLOR(#a6f1f1):水光|
|0624|[[大天使・ミカエル>モンスター図鑑/0624]]|神|BGCOLOR(#bbf1a6):木光|
|0625|[[護法の大天使・ミカエル>モンスター図鑑/0625]]|神|BGCOLOR(#bbf1a6):木光|
|0626|[[大天使・ラファエル>モンスター図鑑/0626]]|神|BGCOLOR(#f1f1a6):光光|
|0627|[[神癒の大天使・ラファエル>モンスター図鑑/0627]]|神|BGCOLOR(#f1f1a6):光光|
|0628|[[大天使・ルシファー>モンスター図鑑/0628]]|神|BGCOLOR(#bba6f1):闇光|
|0629|[[黎明の熾天使・ルシファー>モンスター図鑑/0629]]|神|BGCOLOR(#bba6f1):闇光|
|0630|[[魔神・ベリアル>モンスター図鑑/0630]]|悪魔|BGCOLOR(#f1bba6):火闇|
|0631|[[邪炎の魔神将・ベリアル>モンスター図鑑/0631]]|悪魔|BGCOLOR(#f1bba6):火闇|
|0632|[[魔神・アモン>モンスター図鑑/0632]]|悪魔|BGCOLOR(#a6f1f1):水闇|
|0633|[[義侠の魔神将・アモン>モンスター図鑑/0633]]|悪魔|BGCOLOR(#a6f1f1):水闇|
|0634|[[魔神・アスタロト>モンスター図鑑/0634]]|悪魔|BGCOLOR(#bbf1a6):木闇|
|0635|[[予見の魔神将・アスタロト>モンスター図鑑/0635]]|悪魔|BGCOLOR(#bbf1a6):木闇|
|0636|[[魔神・バアル>モンスター図鑑/0636]]|悪魔|BGCOLOR(#f1f1a6):光闇|
|0637|[[閃剣の魔神将・バアル>モンスター図鑑/0637]]|悪魔|BGCOLOR(#f1f1a6):光闇|
|0638|[[堕天使・ルシファー>モンスター図鑑/0638]]|悪魔|BGCOLOR(#bba6f1):闇闇|
|0639|[[逆心の神魔王・ルシファー>モンスター図鑑/0639]]|悪魔|BGCOLOR(#bba6f1):闇闇|
|0640|[[代行者・メタトロン>モンスター図鑑/0640]]|神/回復|BGCOLOR(#f1f1a6):光|
|0641|[[神輝の代行者・メタトロン>モンスター図鑑/0641]]|神/回復|BGCOLOR(#f1f1a6):光光|
|0642|[[執行者・メタトロン>モンスター図鑑/0642]]|神/攻撃|BGCOLOR(#bba6f1):闇|
|0643|[[神魔の執行者・メタトロン>モンスター図鑑/0643]]|神/攻撃|BGCOLOR(#bba6f1):闇光|
|0644|[[魔皇子・ベルゼブブ>モンスター図鑑/0644]]|悪魔|BGCOLOR(#bba6f1):闇|
|0645|[[奈落の狂皇子・ベルゼブブ>モンスター図鑑/0645]]|悪魔/攻撃|BGCOLOR(#bba6f1):闇水|
|0646|[[大魔王・サタン>モンスター図鑑/0646]]|悪魔|BGCOLOR(#bba6f1):闇|
|0647|[[災禍の魔神王・サタン>モンスター図鑑/0647]]|悪魔|BGCOLOR(#bba6f1):闇水|
|0648|[[アテナ>モンスター図鑑/0648]]|神|BGCOLOR(#f1f1a6):光木|
|0649|[[覚醒アテナ>モンスター図鑑/0649]]|神|BGCOLOR(#f1f1a6):光木|
|0650|[[ゼウス・ディオス>モンスター図鑑/0650]]|神|BGCOLOR(#bbf1a6):木|
|0651|[[覚醒ゼウス・ディオス>モンスター図鑑/0651]]|神/バランス|BGCOLOR(#bbf1a6):木光|
|0652|[[焔剣の勝利神・フレイ>モンスター図鑑/0652]]|神/攻撃|BGCOLOR(#f1bba6):火火|
|0653|[[蒼穹の双星神・イズン＆イズーナ>モンスター図鑑/0653]]|神/バランス|BGCOLOR(#a6f1f1):水水|
|0654|[[緑聖の豊麗神・フレイヤ>モンスター図鑑/0654]]|神/回復|BGCOLOR(#bbf1a6):木木|
|0655|[[雷槌の金剛神・トール>モンスター図鑑/0655]]|神/体力|BGCOLOR(#f1f1a6):光光|
|0656|[[終焉の狡知神・ロキ>モンスター図鑑/0656]]|神/悪魔|BGCOLOR(#bba6f1):闇闇|
|0657|[[天頂の雷霆龍・インドラ>モンスター図鑑/0657]]|神/ドラゴン|BGCOLOR(#f1f1a6):光光|
|0658|[[深潭の暗黒龍・ヴリトラ>モンスター図鑑/0658]]|神/ドラゴン|BGCOLOR(#bba6f1):闇闇|
|0659|[[パズドロイド>モンスター図鑑/0659]]|体力/マシン|BGCOLOR(#bbf1a6):木|
|0660|[[ドロイドラゴン>モンスター図鑑/0660]]|体力/ドラゴン|BGCOLOR(#bbf1a6):木|
|0661|[[カオスブリザードドラゴン>モンスター図鑑/0661]]|ドラゴン/悪魔|BGCOLOR(#a6f1f1):水|
|0662|[[キャシー・クレイジー>モンスター図鑑/0662]]|攻撃|BGCOLOR(#bba6f1):闇|
|0663|[[ロマンティック★キャシー>モンスター図鑑/0663]]|攻撃|BGCOLOR(#bba6f1):闇|
|0664|[[鵜飼孫六>モンスター図鑑/0664]]|バランス|BGCOLOR(#a6f1f1):水|
|0665|[[蒼翼忍者・鵜飼孫六>モンスター図鑑/0665]]|バランス|BGCOLOR(#a6f1f1):水|
|0666|[[ECO・タイニー・アルマ>モンスター図鑑/0666]]|バランス|BGCOLOR(#f1f1a6):光|
|0667|[[ECO・ダンプティー>モンスター図鑑/0667]]|バランス|BGCOLOR(#bba6f1):闇|
|0668|[[ECO・ダンプティー・アルマ>モンスター図鑑/0668]]|バランス|BGCOLOR(#bba6f1):闇|
|0669|[[亡国のアポロ>モンスター図鑑/0669]]|バランス|BGCOLOR(#f1bba6):火|
|0670|[[灼炎のアポロ>モンスター図鑑/0670]]|バランス|BGCOLOR(#f1bba6):火|
|0671|[[聖龍王サイガ>モンスター図鑑/0671]]|ドラゴン|BGCOLOR(#bbf1a6):木|
|0672|[[光龍王サイガ>モンスター図鑑/0672]]|ドラゴン|BGCOLOR(#bbf1a6):木光|
|0673|[[バンチャック>モンスター図鑑/0673]]|攻撃|BGCOLOR(#f1f1a6):光|
|0674|[[KOBレオンハート>モンスター図鑑/0674]]|攻撃|BGCOLOR(#f1f1a6):光|
|0675|[[コボックル>モンスター図鑑/0675]]|体力|BGCOLOR(#bba6f1):闇|
|0676|[[ボックル>モンスター図鑑/0676]]|体力|BGCOLOR(#bba6f1):闇|
|0677|[[カグヤ>モンスター図鑑/0677]]|回復|BGCOLOR(#bbf1a6):木|
|0678|[[狂華咲乱 花媛香具耶>モンスター図鑑/0678]]|回復|BGCOLOR(#bbf1a6):木|
|0679|[[ウエハーマン>モンスター図鑑/0679]]|強化合成用|BGCOLOR(#f1f1a6):光|
|0680|[[聖龍石>モンスター図鑑/0680]]|強化合成用|BGCOLOR(#bba6f1):闇|
|0681|[[マネキニャドラ>モンスター図鑑/0681]]|強化合成用|BGCOLOR(#f1f1a6):光|
|0682|[[ヘビーメタルドラゴン>モンスター図鑑/0682]]|ドラゴン|BGCOLOR(#bba6f1):闇|
|0683|[[龍王・ゼローグ>モンスター図鑑/0683]]|ドラゴン|BGCOLOR(#bba6f1):闇|
|0684|[[キングホノりん>モンスター図鑑/0684]]|攻撃|BGCOLOR(#f1bba6):火|
|0685|[[キングアワりん>モンスター図鑑/0685]]|体力|BGCOLOR(#a6f1f1):水|
|0686|[[キングモリりん>モンスター図鑑/0686]]|バランス|BGCOLOR(#bbf1a6):木|
|0687|[[キングヒカりん>モンスター図鑑/0687]]|回復|BGCOLOR(#f1f1a6):光|
|0688|[[キングワルりん>モンスター図鑑/0688]]|悪魔|BGCOLOR(#bba6f1):闇|
|0689|[[荒武者・レッドゴブリン>モンスター図鑑/0689]]|攻撃|BGCOLOR(#f1bba6):火|
|0690|[[突撃兵・マリンゴブリン>モンスター図鑑/0690]]|攻撃|BGCOLOR(#a6f1f1):水|
|0691|[[重戦士・ホブゴブリン>モンスター図鑑/0691]]|攻撃|BGCOLOR(#bbf1a6):木|
|0692|[[破龍皇帝・グランドジークフリート>モンスター図鑑/0692]]|体力|BGCOLOR(#a6f1f1):水火|
|0693|[[王狼英雄・ノーブルクーフーリン>モンスター図鑑/0693]]|バランス|BGCOLOR(#bbf1a6):木闇|
|0694|[[薔薇戦姫・グレイスヴァルキリー>モンスター図鑑/0694]]|回復|BGCOLOR(#f1f1a6):光木|
|0695|[[アスカ＆エヴァ2号機>モンスター図鑑/0695]]|攻撃/マシン|BGCOLOR(#f1bba6):火|
|0696|[[アスカ＆エヴァ改2号機>モンスター図鑑/0696]]|攻撃/マシン|BGCOLOR(#f1bba6):火火|
|0697|[[シンジ＆エヴァ初号機>モンスター図鑑/0697]]|攻撃/マシン|BGCOLOR(#a6f1f1):水|
|0698|[[シンジ＆エヴァ初号機・覚醒>モンスター図鑑/0698]]|攻撃/マシン|BGCOLOR(#a6f1f1):水水|
|0699|[[マリ＆エヴァ仮設5号機>モンスター図鑑/0699]]|攻撃/マシン|BGCOLOR(#bbf1a6):木|
|0700|[[マリ＆エヴァ8号機>モンスター図鑑/0700]]|攻撃/マシン|BGCOLOR(#bbf1a6):木木|
|0701&aname(no0701);|[[レイ＆エヴァ零号機>モンスター図鑑/0701]]|攻撃/マシン|BGCOLOR(#f1f1a6):光|
|0702|[[レイ＆エヴァ零号機・特攻>モンスター図鑑/0702]]|攻撃/マシン|BGCOLOR(#f1f1a6):光光|
|0703|[[カヲル＆Mark.06・建造中>モンスター図鑑/0703]]|攻撃/マシン|BGCOLOR(#bba6f1):闇|
|0704|[[カヲル＆Mark.06>モンスター図鑑/0704]]|攻撃/マシン|BGCOLOR(#bba6f1):闇闇|
|0705|[[シンジ＆カヲル＆第13号機>モンスター図鑑/0705]]|攻撃/マシン|BGCOLOR(#a6f1f1):水闇|
|0706|[[シンジ＆カヲル＆第13号機・覚醒>モンスター図鑑/0706]]|攻撃/マシン|BGCOLOR(#a6f1f1):水闇|
|0707|[[第5の使徒>モンスター図鑑/0707]]|神/攻撃|BGCOLOR(#f1bba6):火|
|0708|[[第5の使徒・戦闘形態>モンスター図鑑/0708]]|神/攻撃|BGCOLOR(#f1bba6):火|
|0709|[[第6の使徒>モンスター図鑑/0709]]|神/攻撃|BGCOLOR(#f1f1a6):光|
|0710|[[第6の使徒・戦闘形態>モンスター図鑑/0710]]|神/攻撃|BGCOLOR(#f1f1a6):光|
|0711|[[第10の使徒>モンスター図鑑/0711]]|神/攻撃|BGCOLOR(#bba6f1):闇|
|0712|[[第10の使徒・戦闘形態>モンスター図鑑/0712]]|神/攻撃|BGCOLOR(#bba6f1):闇|
|0713|[[第4の使徒>モンスター図鑑/0713]]|神/攻撃|BGCOLOR(#bba6f1):闇|
|0714|[[第4の使徒・戦闘形態>モンスター図鑑/0714]]|神/攻撃|BGCOLOR(#bba6f1):闇|
|0715|[[灼炎王アポロ>モンスター図鑑/0715]]|バランス|BGCOLOR(#f1bba6):火火|
|0716|[[完全覚醒・光龍王サイガ>モンスター図鑑/0716]]|ドラゴン/バランス|BGCOLOR(#bbf1a6):木光|
|0717|[[ねねこ>モンスター図鑑/0717]]|バランス|BGCOLOR(#a6f1f1):水|
|0718|[[はまひめ>モンスター図鑑/0718]]|悪魔|BGCOLOR(#bba6f1):闇|
|0719|[[翠天龍・エリュシオン>モンスター図鑑/0719]]|ドラゴン/攻撃|BGCOLOR(#bbf1a6):木|
|0720|[[CoC・バーバリアン>モンスター図鑑/0720]]|体力|BGCOLOR(#f1f1a6):光|
|0721|[[CoC・レイジバーバリアン>モンスター図鑑/0721]]|体力|BGCOLOR(#f1f1a6):光|
|0722|[[CoC・アーチャー>モンスター図鑑/0722]]|バランス|BGCOLOR(#f1bba6):火|
|0723|[[CoC・フレイムアーチャー>モンスター図鑑/0723]]|バランス|BGCOLOR(#f1bba6):火|
|0724|[[CoC・ゴブリン>モンスター図鑑/0724]]|攻撃|BGCOLOR(#bbf1a6):木|
|0725|[[CoC・フォレストゴブリン>モンスター図鑑/0725]]|攻撃|BGCOLOR(#bbf1a6):木|
|0726|[[CoC・ヒーラー>モンスター図鑑/0726]]|回復|BGCOLOR(#f1f1a6):光|
|0727|[[CoC・グロリアスヒーラー>モンスター図鑑/0727]]|回復|BGCOLOR(#f1f1a6):光|
|0728|[[CoC・ドラゴン>モンスター図鑑/0728]]|ドラゴン|BGCOLOR(#f1bba6):火|
|0729|[[CoC・クリムゾンドラゴン>モンスター図鑑/0729]]|ドラゴン|BGCOLOR(#f1bba6):火|
|0730|[[CoC・P.E.K.K.A>モンスター図鑑/0730]]|悪魔|BGCOLOR(#bba6f1):闇|
|0731|[[CoC・ナイトメアP.E.K.K.A>モンスター図鑑/0731]]|悪魔|BGCOLOR(#bba6f1):闇闇|
|0732|[[赤チョコボ＆チョコボ士>モンスター図鑑/0732]]|攻撃|BGCOLOR(#f1bba6):火火|
|0733|[[青チョコボ＆チョコボ士>モンスター図鑑/0733]]|バランス|BGCOLOR(#a6f1f1):水水|
|0734|[[緑チョコボ＆チョコボ士>モンスター図鑑/0734]]|体力|BGCOLOR(#bbf1a6):木木|
|0735|[[モーグリ＆カーバンクル＆チョコボ>モンスター図鑑/0735]]|回復|BGCOLOR(#f1f1a6):光光|
|0736|[[モルボルキング＆トンベリキング>モンスター図鑑/0736]]|体力|BGCOLOR(#bbf1a6):木水|
|0737|[[緋石龍・ヒヒイロカネ>モンスター図鑑/0737]]|ドラゴン|BGCOLOR(#f1bba6):火光|
|0738|[[蒼石龍・ミスリル>モンスター図鑑/0738]]|ドラゴン|BGCOLOR(#a6f1f1):水木|
|0739|[[翠石龍・アダマント>モンスター図鑑/0739]]|ドラゴン|BGCOLOR(#bbf1a6):木闇|
|0740|[[虹石龍・オリハルコン>モンスター図鑑/0740]]|ドラゴン|BGCOLOR(#f1f1a6):光水|
|0741|[[紫石龍・ダマスカス>モンスター図鑑/0741]]|ドラゴン|BGCOLOR(#bba6f1):闇火|
|0742|[[ドラりん>モンスター図鑑/0742]]|ドラゴン|BGCOLOR(#bbf1a6):木|
|0743|[[ドラりんナイト>モンスター図鑑/0743]]|ドラゴン|BGCOLOR(#bbf1a6):木|
