* モンスター（以前の形式）  [#de0cefec]

- パラメータについては各モンスターの詳細ページを参照してださい。
- 関連ページ
-- [[モンスター図鑑/最大値]]
-- [[入手方法]]
-- [[覚醒スキル]]

&color(,#eee){ページ内リンク};
[[001>#no001]] - [[101>#no101]] - [[201>#no201]] - [[301>#no301]] - [[401>#no401]] - [[501>#no501]] - [[601>#no601]] - [[701>#no701]] - [[801>#no801]] - [[901>#no901]] - [[1001>#no1001]] - [[1101>#no1101]] - [[1201>#no1201]] - [[1301>#no1301]] - [[1401>#no1401]] - [[1501>#no1501]] - [[1601>#no1601]] - [[1701>#no1701]] - [[1801>#no1801]] - [[1901>#no1901]] - [[2001>#no2001]] - [[2101>#no2101]] - [[2201>#no2201]] - [[2301>#no2301]]

#style(class=enableFilter){{
|~No|~名称			|~☆|~タイプ|~属|~CO|~スキル|~リーダースキル|~最大Lv|h
|634|[[魔神・アスタロト>モンスター図鑑/0634]]	|5|悪魔|BGCOLOR(#bbf1a6):木闇|25|樹の呪い|悪魔の加護|50(400)|
|635|[[予見の魔神将・アスタロト>モンスター図鑑/0635]]	|6|悪魔|BGCOLOR(#bbf1a6):木闇|30|樹の呪い|魔神の加護|99(400)|
|636|[[魔神・バアル>モンスター図鑑/0636]]	|5|悪魔|BGCOLOR(#f1f1a6):光闇|25|雷の呪い|神速の攻勢|50(400)|
|637|[[閃剣の魔神将・バアル>モンスター図鑑/0637]]	|6|悪魔|BGCOLOR(#f1f1a6):光闇|30|雷の呪い|神速の攻勢|99(400)|
|638|[[堕天使・ルシファー>モンスター図鑑/0638]]	|5|悪魔|BGCOLOR(#bba6f1):闇闇|25|イビルノヴァ|悪魔の魂|50(400)|
|639|[[逆心の神魔王・ルシファー>モンスター図鑑/0639]]	|6|悪魔|BGCOLOR(#bba6f1):闇闇|30|イビルノヴァ|聖魔の魂|99(400)|
|640|[[代行者・メタトロン>モンスター図鑑/0640]]	|5|神/回復|BGCOLOR(#f1f1a6):光|30|クイックキュアー|代行者の聖戦|50(500)|
|641|[[神輝の代行者・メタトロン>モンスター図鑑/0641]]	|6|神/回復|BGCOLOR(#f1f1a6):光光|50|クイックキュアー|代行者の聖戦|99(500)|
|642|[[執行者・メタトロン>モンスター図鑑/0642]]	|6|神/攻撃|BGCOLOR(#bba6f1):闇|40|神魔の息吹|執行者の猛勢|50(500)|
|643|[[神魔の執行者・メタトロン>モンスター図鑑/0643]]	|7|神/攻撃|BGCOLOR(#bba6f1):闇光|60|神魔の息吹|執行者の猛勢|99(500)|
|644|[[魔皇子・ベルゼブブ>モンスター図鑑/0644]]	|6|悪魔|BGCOLOR(#bba6f1):闇|40|デッドリードライブ|魔皇子の指揮|50(500)|
|645|[[奈落の狂皇子・ベルゼブブ>モンスター図鑑/0645]]	|7|悪魔/攻撃|BGCOLOR(#bba6f1):闇水|60|デッドリードライブ|魔皇子の采配|99(500)|
|646|[[大魔王・サタン>モンスター図鑑/0646]]	|6|悪魔|BGCOLOR(#bba6f1):闇|40|ワールドエンド|悪魔王の慧眼|50(500)|
|647|[[災禍の魔神王・サタン>モンスター図鑑/0647]]	|7|悪魔|BGCOLOR(#bba6f1):闇水|60|ワールドエンド|悪魔王の慧眼|99(500)|
|648|[[アテナ>モンスター図鑑/0648]]	|6|神|BGCOLOR(#f1f1a6):光木|40|アイギスの煌き|ニケの祝福|50(500)|
|649|[[覚醒アテナ>モンスター図鑑/0649]]	|7|神|BGCOLOR(#f1f1a6):光木|60|アイギスの煌き|ニケの祝福|99(500)|
|650|[[ゼウス・ディオス>モンスター図鑑/0650]]	|6|神|BGCOLOR(#bbf1a6):木|45|ジュピタージェネシス|パワー・オブ・ディオス|50(500)|
|651|[[覚醒ゼウス・ディオス>モンスター図鑑/0651]]	|7|神/バランス|BGCOLOR(#bbf1a6):木光|60|ジュピタージェネシス|パワー・オブ・ディオス|99(500)|
|652|[[焔剣の勝利神・フレイ>モンスター図鑑/0652]]	|7|神/攻撃|BGCOLOR(#f1bba6):火火|35|フレイムエンハンス|勝利の剣の導き|99(400)|
|653|[[蒼穹の双星神・イズン＆イズーナ>モンスター図鑑/0653]]	|7|神/バランス|BGCOLOR(#a6f1f1):水水|35|ウォーターエンハンス|黄金林檎の祝福|99(400)|
|654|[[緑聖の豊麗神・フレイヤ>モンスター図鑑/0654]]	|7|神/回復|BGCOLOR(#bbf1a6):木木|35|アースエンハンス|ブリージンガメンの加護|99(400)|
|655|[[雷槌の金剛神・トール>モンスター図鑑/0655]]	|7|神/体力|BGCOLOR(#f1f1a6):光光|35|サンダーエンハンス|メギンギョルズの恩恵|99(400)|
|656|[[終焉の狡知神・ロキ>モンスター図鑑/0656]]	|7|神/悪魔|BGCOLOR(#bba6f1):闇闇|35|ダークエンハンス|トリックスターの策謀|99(400)|
|657|[[天頂の雷霆龍・インドラ>モンスター図鑑/0657]]	|7|神/ドラゴン|BGCOLOR(#f1f1a6):光光|40|英龍の守り|雷龍神の祝福|99(400)|
|658|[[深潭の暗黒龍・ヴリトラ>モンスター図鑑/0658]]	|7|神/ドラゴン|BGCOLOR(#bba6f1):闇闇|40|恨みの一撃|黒龍神の激昂|99(400)|
|659|[[パズドロイド>モンスター図鑑/0659]]	|4|体力/マシン|BGCOLOR(#bbf1a6):木|10|なし|メタリックボディ|35(150)|
|660|[[ドロイドラゴン>モンスター図鑑/0660]]	|5|体力/ドラゴン|BGCOLOR(#bbf1a6):木|15|ドロイドダンス|メタリックボディ|99(300)|
|661|[[カオスブリザードドラゴン>モンスター図鑑/0661]]	|5|ドラゴン/悪魔|BGCOLOR(#a6f1f1):水|25|カースボール|氷の防壁|99(400)|
|662|[[キャシー・クレイジー>モンスター図鑑/0662]]	|3|攻撃|BGCOLOR(#bba6f1):闇|5|なし|なし|25(150)|
|663|[[ロマンティック★キャシー>モンスター図鑑/0663]]	|4|攻撃|BGCOLOR(#bba6f1):闇|10|暗黒の呪い|逆ギレ|70(150)|
|664|[[鵜飼孫六>モンスター図鑑/0664]]	|3|バランス|BGCOLOR(#a6f1f1):水|5|なし|なし|25(150)|
|665|[[蒼翼忍者・鵜飼孫六>モンスター図鑑/0665]]	|4|バランス|BGCOLOR(#a6f1f1):水|10|氷の呪い|分身の術|70(150)|
|666|[[ECO・タイニー・アルマ>モンスター図鑑/0666]]	|5|バランス|BGCOLOR(#f1f1a6):光|18|チェンジ・ザ・ワールド|タイニーエール|99(300)|
|667|[[ECO・ダンプティー>モンスター図鑑/0667]]	|4|バランス|BGCOLOR(#bba6f1):闇|12|ダークエンハンス|ダンプティーエール|70(150)|
|668|[[ECO・ダンプティー・アルマ>モンスター図鑑/0668]]	|5|バランス|BGCOLOR(#bba6f1):闇|18|ダークエンハンス|ダンプティーエール|99(300)|
|669|[[亡国のアポロ>モンスター図鑑/0669]]	|4|バランス|BGCOLOR(#f1bba6):火|15|オリンポスの炎|オリンポス戦闘術|50(400)|
|670|[[灼炎のアポロ>モンスター図鑑/0670]]	|5|バランス|BGCOLOR(#f1bba6):火|20|オリンポスの炎|サンシャイン・バースト|99(400)|
|671|[[聖龍王サイガ>モンスター図鑑/0671]]	|5|ドラゴン|BGCOLOR(#bbf1a6):木|40|神羅万象|七天伐刀|50(400)|
|672|[[光龍王サイガ>モンスター図鑑/0672]]	|6|ドラゴン|BGCOLOR(#bbf1a6):木光|50|神羅万象|双龍伐刀剣|99(400)|
|673|[[バンチャック>モンスター図鑑/0673]]	|3|攻撃|BGCOLOR(#f1f1a6):光|5|なし|なし|25(100)|
|674|[[KOBレオンハート>モンスター図鑑/0674]]	|4|攻撃|BGCOLOR(#f1f1a6):光|10|雷の呪い|ロイヤル・ストレート・Ｆ|70(150)|
|675|[[コボックル>モンスター図鑑/0675]]	|3|体力|BGCOLOR(#bba6f1):闇|5|なし|なし|25(100)|
|676|[[ボックル>モンスター図鑑/0676]]	|4|体力|BGCOLOR(#bba6f1):闇|10|防御態勢・闇|友好の握手|70(150)|
|677|[[カグヤ>モンスター図鑑/0677]]	|3|回復|BGCOLOR(#bbf1a6):木|5|なし|なし|25(100)|
|678|[[狂華咲乱 花媛香具耶>モンスター図鑑/0678]]	|4|回復|BGCOLOR(#bbf1a6):木|10|樹の呪い|毒霧散布|70(150)|
|679|[[ウエハーマン>モンスター図鑑/0679]]	|4|強化用|BGCOLOR(#f1f1a6):光|1|ダブルドロップ変化・光闇|なし|1|
|680|[[聖龍石>モンスター図鑑/0680]]	|5|強化用|BGCOLOR(#bba6f1):闇|1|第三の目|なし|1|
|681|[[マネキニャドラ>モンスター図鑑/0681]]	|3|強化用|BGCOLOR(#f1f1a6):光|1|なし|なし|1|
|682|[[ヘビーメタルドラゴン>モンスター図鑑/0682]]	|6|ドラゴン|BGCOLOR(#bba6f1):闇|40|グラビティブレス|龍の逆鱗|50(500)|
|683|[[龍王・ゼローグ>モンスター図鑑/0683]]	|7|ドラゴン|BGCOLOR(#bba6f1):闇|50|グラビティブレス|龍の逆鱗|99(500)|
|684|[[キングホノりん>モンスター図鑑/0684]]	|3|攻撃|BGCOLOR(#f1bba6):火|7|攻撃エンハンス|なし|50(150)|
|685|[[キングアワりん>モンスター図鑑/0685]]	|3|体力|BGCOLOR(#a6f1f1):水|7|体力エンハンス|なし|50(150)|
|686|[[キングモリりん>モンスター図鑑/0686]]	|3|バランス|BGCOLOR(#bbf1a6):木|7|バランスエンハンス|なし|50(150)|
|687|[[キングヒカりん>モンスター図鑑/0687]]	|3|回復|BGCOLOR(#f1f1a6):光|7|回復エンハンス|なし|50(150)|
|688|[[キングワルりん>モンスター図鑑/0688]]	|3|悪魔|BGCOLOR(#bba6f1):闇|7|悪魔エンハンス|なし|50(150)|
|689|[[荒武者・レッドゴブリン>モンスター図鑑/0689]]	|3|攻撃|BGCOLOR(#f1bba6):火|10|攻撃態勢・火|突撃陣形|70(150)|
|690|[[突撃兵・マリンゴブリン>モンスター図鑑/0690]]	|3|攻撃|BGCOLOR(#a6f1f1):水|10|防御態勢・水|回復陣形|70(150)|
|691|[[重戦士・ホブゴブリン>モンスター図鑑/0691]]	|3|攻撃|BGCOLOR(#bbf1a6):木|10|ドロップリフレッシュ|防御陣形|70(150)|
|692|[[破龍皇帝・グランドジークフリート>モンスター図鑑/0692]]	|7|体力|BGCOLOR(#a6f1f1):水火|35|攻撃態勢・水|ブラッディカイザー|99(400)|
|693|[[王狼英雄・ノーブルクーフーリン>モンスター図鑑/0693]]	|7|バランス|BGCOLOR(#bbf1a6):木闇|35|攻撃態勢・木|スカアハの導き|99(400)|
|694|[[薔薇戦姫・グレイスヴァルキリー>モンスター図鑑/0694]]	|7|回復|BGCOLOR(#f1f1a6):光木|35|攻撃態勢・光|ヴァルキリーブレイヴァー|99(400)|
|695|[[アスカ＆エヴァ2号機>モンスター図鑑/0695]]	|4|攻撃/マシン|BGCOLOR(#f1bba6):火|10|あんたバカぁ？|制式仕様|50(150)|
|696|[[アスカ＆エヴァ改2号機>モンスター図鑑/0696]]	|5|攻撃/マシン|BGCOLOR(#f1bba6):火火|15|あんたバカぁ？|制式仕様|99(300)|
|697|[[シンジ＆エヴァ初号機>モンスター図鑑/0697]]	|4|攻撃/マシン|BGCOLOR(#a6f1f1):水|10|逃げちゃダメだ|NERV仕様|50(150)|
|698|[[シンジ＆エヴァ初号機・覚醒>モンスター図鑑/0698]]	|5|攻撃/マシン|BGCOLOR(#a6f1f1):水水|15|逃げちゃダメだ|NERV仕様|99(300)|
|699|[[マリ＆エヴァ仮設5号機>モンスター図鑑/0699]]	|4|攻撃/マシン|BGCOLOR(#bbf1a6):木|10|合点承知！|局地仕様|50(150)|
|700|[[マリ＆エヴァ8号機>モンスター図鑑/0700]]	|5|攻撃/マシン|BGCOLOR(#bbf1a6):木木|15|合点承知！|ヴィレカスタム|99(300)|
|701&aname(no701);|[[レイ＆エヴァ零号機>モンスター図鑑/0701]]	|4|攻撃/マシン|BGCOLOR(#f1f1a6):光|10|私が守るもの|改装仕様|50(150)|
|702|[[レイ＆エヴァ零号機・特攻>モンスター図鑑/0702]]	|5|攻撃/マシン|BGCOLOR(#f1f1a6):光光|15|私が守るもの|改装仕様|99(300)|
|703|[[カヲル＆Mark.06・建造中>モンスター図鑑/0703]]	|4|攻撃/マシン|BGCOLOR(#bba6f1):闇|10|さあ、約束の時だ|ゼーレの秘蹟|50(150)|
|704|[[カヲル＆Mark.06>モンスター図鑑/0704]]	|5|攻撃/マシン|BGCOLOR(#bba6f1):闇闇|15|さあ、約束の時だ|ゼーレの秘蹟|99(300)|
|705|[[シンジ＆カヲル＆第13号機>モンスター図鑑/0705]]	|5|攻撃/マシン|BGCOLOR(#a6f1f1):水闇|25|時が満ちた…|ダブルエントリーシステム|50(400)|
|706|[[シンジ＆カヲル＆第13号機・覚醒>モンスター図鑑/0706]]	|6|攻撃/マシン|BGCOLOR(#a6f1f1):水闇|30|時が満ちた…|ダブルエントリーシステム|99(400)|
|707|[[第5の使徒>モンスター図鑑/0707]]	|3|神/攻撃|BGCOLOR(#f1bba6):火|10|なし|A.T.フィールド|25(150)|
|708|[[第5の使徒・戦闘形態>モンスター図鑑/0708]]	|4|神/攻撃|BGCOLOR(#f1bba6):火|15|クイックヒール|A.T.フィールド|70(300)|
|709|[[第6の使徒>モンスター図鑑/0709]]	|3|神/攻撃|BGCOLOR(#f1f1a6):光|10|なし|A.T.フィールド|25(150)|
|710|[[第6の使徒・戦闘形態>モンスター図鑑/0710]]	|4|神/攻撃|BGCOLOR(#f1f1a6):光|15|イビルノヴァ|A.T.フィールド|70(300)|
|711|[[第10の使徒>モンスター図鑑/0711]]	|5|神/攻撃|BGCOLOR(#bba6f1):闇|20|最大の拒絶|多層A.T.フィールド|50(150)|
|712|[[第10の使徒・戦闘形態>モンスター図鑑/0712]]	|6|神/攻撃|BGCOLOR(#bba6f1):闇|25|最大の拒絶|多層A.T.フィールド|99(300)|
|713|[[第4の使徒>モンスター図鑑/0713]]	|3|神/攻撃|BGCOLOR(#bba6f1):闇|10|なし|A.T.フィールド|25(150)|
|714|[[第4の使徒・戦闘形態>モンスター図鑑/0714]]	|4|神/攻撃|BGCOLOR(#bba6f1):闇|15|グングニール|A.T.フィールド|70(300)|
|715|[[灼炎王アポロ>モンスター図鑑/0715]]	|6|バランス|BGCOLOR(#f1bba6):火火|25|オリンポスの炎|爆熱エクスプロージョン|99(400)|
|716|[[完全覚醒・光龍王サイガ>モンスター図鑑/0716]]	|7|ドラゴン/バランス|BGCOLOR(#bbf1a6):木光|55|神羅万象|央覇封神|99(400)|
|717|[[ねねこ>モンスター図鑑/0717]]	|2|バランス|BGCOLOR(#a6f1f1):水|5|暗黒変化の術・水|なし|30(150)|
|718|[[はまひめ>モンスター図鑑/0718]]	|2|悪魔|BGCOLOR(#bba6f1):闇|5|業炎変化の術・闇|なし|30(150)|
|719|[[翠天龍・エリュシオン>モンスター図鑑/0719]]|6|ドラゴン/攻撃|BGCOLOR(#bbf1a6):木|25|ゴッドヘルブレス|大地の力|99(400)|
|720|[[CoC・バーバリアン>モンスター図鑑/0720]]	|3|体力|BGCOLOR(#f1f1a6):光|5|なし|光の力|25(150)|
|721|[[CoC・レイジバーバリアン>モンスター図鑑/0721]]	|4|体力|BGCOLOR(#f1f1a6):光|10|サンダーエンハンス|光の力|70(300)|
|722|[[CoC・アーチャー>モンスター図鑑/0722]]	|3|バランス|BGCOLOR(#f1bba6):火|5|なし|火の力|25(150)|
|723|[[CoC・フレイムアーチャー>モンスター図鑑/0723]]	|4|バランス|BGCOLOR(#f1bba6):火|10|フレイムエンハンス|火の力|70(300)|
|724|[[CoC・ゴブリン>モンスター図鑑/0724]]	|3|攻撃|BGCOLOR(#bbf1a6):木|5|なし|木の力|25(150)|
|725|[[CoC・フォレストゴブリン>モンスター図鑑/0725]]	|4|攻撃|BGCOLOR(#bbf1a6):木|10|アースエンハンス|木の力|70(300)|
|726|[[CoC・ヒーラー>モンスター図鑑/0726]]	|3|回復|BGCOLOR(#f1f1a6):光|5|なし|癒しの唄|25(150)|
|727|[[CoC・グロリアスヒーラー>モンスター図鑑/0727]]	|4|回復|BGCOLOR(#f1f1a6):光|10|防御態勢・光|癒しの唄|70(300)|
|728|[[CoC・ドラゴン>モンスター図鑑/0728]]	|4|ドラゴン|BGCOLOR(#f1bba6):火|15|クリムゾンボム|ファイアスケイル|50(150)|
|729|[[CoC・クリムゾンドラゴン>モンスター図鑑/0729]]	|5|ドラゴン|BGCOLOR(#f1bba6):火|20|クリムゾンボム|ファイアスケイル|99(300)|
|730|[[CoC・P.E.K.K.A>モンスター図鑑/0730]]	|5|悪魔|BGCOLOR(#bba6f1):闇|40|ナイトメアソード|ダークアーマー|50(400)|
|731|[[CoC・ナイトメアP.E.K.K.A>モンスター図鑑/0731]]	|6|悪魔|BGCOLOR(#bba6f1):闇闇|50|ナイトメアソード|ダークアーマー|99(400)|
|732|[[赤チョコボ＆チョコボ士>モンスター図鑑/0732]]	|4|攻撃|BGCOLOR(#f1bba6):火火|20|チョコメテオ|チョコバリア|99(250)|
|733|[[青チョコボ＆チョコボ士>モンスター図鑑/0733]]	|4|バランス|BGCOLOR(#a6f1f1):水水|20|チョコガード|チョコバリア|99(250)|
|734|[[緑チョコボ＆チョコボ士>モンスター図鑑/0734]]	|4|体力|BGCOLOR(#bbf1a6):木木|20|チョコケアル|チョコバリア|99(250)|
|735|[[モーグリ＆カーバンクル＆チョコボ>モンスター図鑑/0735]]	|6|回復|BGCOLOR(#f1f1a6):光光|20|いやしのエール|クリスタルの光|70(150)|
|736|[[モルボルキング＆トンベリキング>モンスター図鑑/0736]]	|5|体力|BGCOLOR(#bbf1a6):木水|20|くさい息|みんなのうらみ|99(250)|
|737|[[緋石龍・ヒヒイロカネ>モンスター図鑑/0737]]	|5|ドラゴン|BGCOLOR(#f1bba6):火光|25|リーダーチェンジ|陽光の防壁|99(250)|
|738|[[蒼石龍・ミスリル>モンスター図鑑/0738]]	|5|ドラゴン|BGCOLOR(#a6f1f1):水木|25|リーダーチェンジ|樹氷の防壁|99(250)|
|739|[[翠石龍・アダマント>モンスター図鑑/0739]]	|5|ドラゴン|BGCOLOR(#bbf1a6):木闇|25|リーダーチェンジ|呪花の防壁|99(250)|
|740|[[虹石龍・オリハルコン>モンスター図鑑/0740]]	|5|ドラゴン|BGCOLOR(#f1f1a6):光水|25|リーダーチェンジ|聖海の防壁|99(250)|
|741|[[紫石龍・ダマスカス>モンスター図鑑/0741]]	|5|ドラゴン|BGCOLOR(#bba6f1):闇火|25|リーダーチェンジ|邪炎の防壁|99(250)|
|742|[[ドラりん>モンスター図鑑/0742]]	|2|ドラゴン|BGCOLOR(#bbf1a6):木|3|どらごんえんはんす|なし|30(100)|
|743|[[ドラりんナイト>モンスター図鑑/0743]]	|3|ドラゴン|BGCOLOR(#bbf1a6):木|7|ドラゴンエンハンス|なし|50(100)|
|744|[[エンシェントドラりんナイト>モンスター図鑑/0744]]	|4|ドラゴン|BGCOLOR(#bbf1a6):木|15|ドラゴンエンハンス|なし|70(300)|
|745|[[朱雀の化身・レイラン>モンスター図鑑/0745]]	|5|神|BGCOLOR(#f1bba6):火|20|南方七星陣|緋天の舞|50(400)|
|746|[[天導の朱雀・レイラン>モンスター図鑑/0746]]	|6|神|BGCOLOR(#f1bba6):火|25|南方七星陣|緋天の舞|99(400)|
|747|[[青龍の化身・カリン>モンスター図鑑/0747]]	|5|神|BGCOLOR(#a6f1f1):水|20|東方七星陣|昇龍の舞|50(400)|
|748|[[命護の青龍・カリン>モンスター図鑑/0748]]	|6|神|BGCOLOR(#a6f1f1):水|25|東方七星陣|昇龍の舞|99(400)|
|749|[[玄武の化身・メイメイ>モンスター図鑑/0749]]	|5|神|BGCOLOR(#bbf1a6):木|20|北方七星陣|霊亀の舞|50(400)|
|750|[[地鎮の玄武・メイメイ>モンスター図鑑/0750]]	|6|神|BGCOLOR(#bbf1a6):木|25|北方七星陣|霊亀の舞|99(400)|
|751|[[麒麟の化身・サクヤ>モンスター図鑑/0751]]	|5|神|BGCOLOR(#f1f1a6):光|20|四神乱舞|四源の舞|50(400)|
|752|[[極光の麒麟・サクヤ>モンスター図鑑/0752]]	|6|神|BGCOLOR(#f1f1a6):光|25|四神乱舞|四源の舞|99(400)|
|753|[[白虎の化身・ハク>モンスター図鑑/0753]]	|5|神|BGCOLOR(#bba6f1):闇|20|西方七星陣|虎咆の舞|50(400)|
|754|[[霊護の白虎・ハク>モンスター図鑑/0754]]	|6|神|BGCOLOR(#bba6f1):闇|25|西方七星陣|虎咆の舞|99(400)|
|755|[[紅蓮龍神・ヒノカグツチ>モンスター図鑑/0755]]	|7|神/ドラゴン|BGCOLOR(#f1bba6):火光|35|バーストボム|神の業火|99(400)|
|756|[[焔獄蛇神・ヒノカグツチ>モンスター図鑑/0756]]	|7|神/攻撃|BGCOLOR(#f1bba6):火闇|35|バーストボム|神の業火|99(400)|
|757|[[灼爪龍・フレアドラール>モンスター図鑑/0757]]	|6|ドラゴン/攻撃|BGCOLOR(#f1bba6):火木|30|防御態勢・火|炎樹の防壁|99(300)|
|758|[[穿鮫龍・メガロドラン>モンスター図鑑/0758]]	|6|ドラゴン/体力|BGCOLOR(#a6f1f1):水火|30|防御態勢・水|氷炎の防壁|99(300)|
|759|[[角砦龍・フォートトイトプス>モンスター図鑑/0759]]	|6|ドラゴン/バランス|BGCOLOR(#bbf1a6):木水|30|防御態勢・木|樹氷の防壁|99(300)|
|760|[[聖獣龍・エンジェリオン>モンスター図鑑/0760]]	|6|ドラゴン/回復|BGCOLOR(#f1f1a6):光木|30|防御態勢・光|聖樹の防壁|99(300)|
|761|[[道化龍・ドラウンジョーカー>モンスター図鑑/0761]]	|6|ドラゴン/悪魔|BGCOLOR(#bba6f1):闇水|30|防御態勢・闇|魔氷の防壁|99(300)|
|762|[[OCTOPUS>モンスター図鑑/0762]]	|3|体力|BGCOLOR(#f1bba6):火|5|なし|レッドエフェクト|25(150)|
|763|[[OCTOPUS Ver.2>モンスター図鑑/0763]]	|4|体力|BGCOLOR(#f1bba6):火|10|ダブル攻撃態勢・火|レッドエフェクト|70(300)|
|764|[[CRAB>モンスター図鑑/0764]]	|3|バランス|BGCOLOR(#a6f1f1):水|5|なし|ブルーエフェクト|25(150)|
|765|[[CRAB Ver.2>モンスター図鑑/0765]]	|4|バランス|BGCOLOR(#a6f1f1):水|10|ウォーターエンハンス|ブルーエフェクト|70(300)|
|766|[[SQUID>モンスター図鑑/0766]]	|3|攻撃|BGCOLOR(#bbf1a6):木|5|なし|グリーンエフェクト|25(150)|
|767|[[SQUID Ver.2>モンスター図鑑/0767]]	|4|攻撃|BGCOLOR(#bbf1a6):木|10|ダブル攻撃態勢・木|グリーンエフェクト|70(300)|
|768|[[GC CRAB>モンスター図鑑/0768]]	|5|バランス|BGCOLOR(#f1f1a6):光|40|グルーヴコースター|テンションMAX|50(400)|
|769|[[GC CRAB Ver.2>モンスター図鑑/0769]]	|6|バランス|BGCOLOR(#f1f1a6):光|50|グルーヴコースター|テンションMAX|99(400)|
|770|[[UFO>モンスター図鑑/0770]]	|4|体力|BGCOLOR(#bba6f1):闇|15|シークレットボーナス|名古屋撃ち|50(150)|
|771|[[UFO Ver.2>モンスター図鑑/0771]]	|5|体力|BGCOLOR(#bba6f1):闇|20|シークレットボーナス|名古屋撃ち|99(300)|
|772|[[緋天蒼龍・エルドラド>モンスター図鑑/0772]]|7|ドラゴン/攻撃|BGCOLOR(#f1bba6):火水|35|フレイムブレス|爆炎の力|99(400)|
|773|[[蒼天夜龍・ニライカナイ>モンスター図鑑/0773]]|7|ドラゴン/攻撃|BGCOLOR(#a6f1f1):水闇|35|スプラッシュブレス|激流の力|99(400)|
|774|[[樹天緋龍・ホウライ>モンスター図鑑/0774]]|7|ドラゴン/攻撃|BGCOLOR(#bbf1a6):木火|35|ロックブレス|大地の力|99(400)|
|775|[[聖天樹龍・シャングリラ>モンスター図鑑/0775]]|7|ドラゴン/攻撃|BGCOLOR(#f1f1a6):光木|35|プラズマブレス|閃光の力|99(400)|
|776|[[夜天聖龍・エリュシオン>モンスター図鑑/0776]]|7|ドラゴン/攻撃|BGCOLOR(#bba6f1):闇光|35|カースブレス|暗黒の力|99(400)|
|777|[[大天狗>モンスター図鑑/0777]]	|5|体力|BGCOLOR(#bbf1a6):木|20|大天狗の舞|ド根性|50(400)|
|778|[[霊峰の破戒神・大天狗>モンスター図鑑/0778]]	|6|体力|BGCOLOR(#bbf1a6):木|25|大天狗の舞|ド根性|99(400)|
|779|[[こだま>モンスター図鑑/0779]]			|2|回復|BGCOLOR(#bbf1a6):木|5|流水変化の術・木|なし|30(150)|
|780|[[黄龍の化身・ファガン>モンスター図鑑/0780]]	|6|神/ドラゴン|BGCOLOR(#f1f1a6):光|40|四神乱舞|天極星龍掌|50(500)|
|781|[[星帝の黄龍・ファガン>モンスター図鑑/0781]]	|7|神/ドラゴン|BGCOLOR(#f1f1a6):光|50|四神乱舞|天極星龍掌|99(500)|
|782|[[神秘の巨石龍・バールベック>モンスター図鑑/0782]]	|6|ドラゴン|BGCOLOR(#f1bba6):火|25|古代の英知|炎岩の神秘|99(400)|
|783|[[神秘の天体龍・アンティキティラ>モンスター図鑑/0783]]	|6|ドラゴン|BGCOLOR(#a6f1f1):水|25|古代の英知|水機の神秘|99(400)|
|784|[[神秘の絵画龍・ナスカ>モンスター図鑑/0784]]	|6|ドラゴン|BGCOLOR(#bbf1a6):木|25|古代の英知|大地の神秘|99(400)|
|785|[[神秘の結晶龍・クリスタルスカル>モンスター図鑑/0785]]	|6|ドラゴン|BGCOLOR(#f1f1a6):光|25|古代の英知|光骨の神秘|99(400)|
|786|[[神秘の円盤龍・ネブラディスク>モンスター図鑑/0786]]	|6|ドラゴン|BGCOLOR(#bba6f1):闇|25|古代の英知|闇盤の神秘|99(400)|
|787|[[ミノタウロス>モンスター図鑑/0787]]		|2|攻撃|BGCOLOR(#f1bba6):火|6|なし|なし|25(150)|
|788|[[迷宮の獣人・ミノタウロス>モンスター図鑑/0788]]	|3|攻撃|BGCOLOR(#f1bba6):火|12|聖炎の奇跡|火の魂|70(150)|
|789|[[コカトリス>モンスター図鑑/0789]]	|2|回復|BGCOLOR(#a6f1f1):水|6|なし|なし|25(150)|
|790|[[魔眼の怪鳥・コカトリス>モンスター図鑑/0790]]	|3|回復|BGCOLOR(#a6f1f1):水|12|聖氷の奇跡|水の魂|70(150)|
|791|[[ケンタウロス>モンスター図鑑/0791]]	|2|バランス|BGCOLOR(#bbf1a6):木|6|なし|なし|25(150)|
|792|[[疾駆の人馬・ケンタウロス>モンスター図鑑/0792]]	|3|バランス|BGCOLOR(#bbf1a6):木|12|聖樹の奇跡|木の魂|70(150)|
|793|[[サイクロプス>モンスター図鑑/0793]]	|2|体力|BGCOLOR(#f1f1a6):光|6|なし|なし|25(150)|
|794|[[雷光の巨漢・サイクロプス>モンスター図鑑/0794]]	|3|体力|BGCOLOR(#f1f1a6):光|12|ダブル攻撃態勢・光|光の魂|70(150)|
|795|[[ダークレディ>モンスター図鑑/0795]]	|2|悪魔|BGCOLOR(#bba6f1):闇|6|なし|なし|25(150)|
|796|[[魅惑の夜魔・ダークレディ>モンスター図鑑/0796]]	|3|悪魔|BGCOLOR(#bba6f1):闇|12|ダブル攻撃態勢・闇|闇の魂|70(150)|
|797|[[たまドラ>モンスター図鑑/0797]]	|5|覚醒用|BGCOLOR(#f1f1a6):光|1|なし|能力覚醒！|1|
|798|[[サンバルビードラゴン>モンスター図鑑/0798]]	|6|強化用|BGCOLOR(#f1bba6):火|38|なし|なし|1|
|799|[[アメノウズメ>モンスター図鑑/0799]]	|5|神|BGCOLOR(#f1bba6):火|20|癒しの鼓舞|天尊の舞踏|50(400)|
