* 進化合成 [#ze6474f1]

#style(class=panelNote){{
このページは編集者不足による更新停止中です。
//ちなみに編集は誰でも行うことが可能です･･･。
}}

- 一部モンスターはLv最大になると進化が可能になる
- 進化するためにはそれぞれ決められた素材モンスターが必要
-- 「爆炎龍ティラノス」に進化するのに必要なモンスターは「ティラノス」の欄を参照
-- 「なし」はこれ以上進化しないということ

//外部サイトのリンクは[[リンク]]へ

&color(,#eee){ページ内リンク};
[[001>#no001]] - [[101>#no101]] - [[201>#no201]] - [[301>#no301]] - [[401>#no401]] - [[501>#no501]] - [[601>#no601]] - [[701>#no701]] - [[801>#no801]] - [[901>#no901]] - [[1001>#no1001]] - [[1101>#no1101]] - [[1201>#no1201]] - [[1301>#no1301]] - [[1401>#no1401]] - [[1501>#no1501]] - [[1601>#no1601]] - [[1701>#no1701]] - [[1801>#no1801]] - [[1901>#no1901]] - [[2001>#no2001]] - [[2101>#no2101]] - [[2201>#no2201]] - [[2301>#no2301]]

#style(class=enableFilter){{
|~No|~ベースモンスター		|~進化に必要なモンスター|~進化結果|
|485|[[スーパーキングゴールドネッキー>モンスター図鑑/0485]]|なし||
|486|[[ギャンブルメイジ>モンスター図鑑/0486]]|&mons251; &mons160; &mons154; &mons151; &mons151;|[[闇の勝負師・ギャンブルメイジ>モンスター図鑑/0487]]|
|487|[[闇の勝負師・ギャンブルメイジ>モンスター図鑑/0487]]|なし||
|488|[[クロノタートル>モンスター図鑑/0488]]|&mons251; &mons160; &mons154; &mons148; &mons149;|[[時の伝道師・クロノタートル>モンスター図鑑/0489]]|
|489|[[時の伝道師・クロノタートル>モンスター図鑑/0489]]|なし||
|490|[[ホルス>モンスター図鑑/0490]]|&mons321; &mons251; &mons246; &mons246; &mons171;|[[炎隼神・ホルス>モンスター図鑑/0491]]|
|491|[[炎隼神・ホルス>モンスター図鑑/0491]]|[[究極進化]]||
|492|[[イシス>モンスター図鑑/0492]]|&mons321; &mons251; &mons247; &mons247; &mons172;|[[聖海神・イシス>モンスター図鑑/0493]]|
|493|[[聖海神・イシス>モンスター図鑑/0493]]|[[究極進化]]||
|494|[[バステト>モンスター図鑑/0494]]|&mons321; &mons251; &mons248; &mons248; &mons173;|[[愛猫神・バステト>モンスター図鑑/0495]]|
|495|[[愛猫神・バステト>モンスター図鑑/0495]]|[[究極進化]]||
|496|[[ラー>モンスター図鑑/0496]]|&mons321; &mons251; &mons249; &mons249; &mons174;|[[太陽神・ラー>モンスター図鑑/0497]]|
|497|[[太陽神・ラー>モンスター図鑑/0497]]|[[究極進化]]||
|498|[[アヌビス>モンスター図鑑/0498]]|&mons321; &mons251; &mons250; &mons250; &mons175;|[[冥狼神・アヌビス>モンスター図鑑/0499]]|
|499|[[冥狼神・アヌビス>モンスター図鑑/0499]]|[[究極進化]]||
|500|[[ケリ姫>モンスター図鑑/0500]]|&mons246; &mons247; &mons248; &mons249; &mons250;|[[アン・パント・ケットバス>モンスター図鑑/0501]]|
|501&aname(no501);|[[アン・パント・ケットバス>モンスター図鑑/0501]]|[[究極進化]]||
|502|[[ガウガウ>モンスター図鑑/0502]]|&mons153; &mons153; &mons154; &mons147; &mons246;|[[草原の主・ガウガウキング>モンスター図鑑/0503]]|
|503|[[草原の主・ガウガウキング>モンスター図鑑/0503]]|なし||
|504|[[アザラシくん>モンスター図鑑/0504]]|&mons156; &mons167; &mons148;|[[セイウチさん>モンスター図鑑/0505]]|
|505|[[セイウチさん>モンスター図鑑/0505]]|なし||
|506|[[ゼリーエンジェル>モンスター図鑑/0506]]|&mons166; &mons167; &mons168;|[[ザ・ゼリーエンジェルズ>モンスター図鑑/0507]]|
|507|[[ザ・ゼリーエンジェルズ>モンスター図鑑/0507]]|なし||
|508|[[バルーンペンペン>モンスター図鑑/0508]]|&mons154; &mons158; &mons158; &mons158;|[[カイトペンペン>モンスター図鑑/0509]]|
|509|[[カイトペンペン>モンスター図鑑/0509]]|なし||
|510|[[ギョロリ>モンスター図鑑/0510]]|&mons170; &mons154; &mons159;|[[デイビルアイ>モンスター図鑑/0511]]|
|511|[[デイビルアイ>モンスター図鑑/0511]]|なし||
|512|[[剛腕の巨人・ギガンテス>モンスター図鑑/0512]]|[[究極進化]]||
|513|[[蒼覇王・カイゼルジークフリート>モンスター図鑑/0513]]|[[究極進化]]||
|514|[[大英雄・モアクーフーリン>モンスター図鑑/0514]]|[[究極進化]]||
|515|[[戦乙女・プリンセスヴァルキリー>モンスター図鑑/0515]]|[[究極進化]]||
|516|[[魔王・ヴァンパイアロード>モンスター図鑑/0516]]|[[究極進化]]||
|517|[[プレゼントBOX（火）>モンスター図鑑/0517]]|&mons227; &mons154; &mons153; &mons152; &mons155;|[[ノエルドラゴン・ルージュ>モンスター図鑑/0520]]|
|518|[[プレゼントBOX（水）>モンスター図鑑/0518]]|&mons227; &mons154; &mons153; &mons152; &mons156;|[[ノエルドラゴン・ブルー>モンスター図鑑/0521]]|
|519|[[プレゼントBOX（木）>モンスター図鑑/0519]]|&mons227; &mons154; &mons153; &mons152; &mons157;|[[ノエルドラゴン・ヴェール>モンスター図鑑/0522]]|
|520|[[ノエルドラゴン・ルージュ>モンスター図鑑/0520]]|なし||
|521|[[ノエルドラゴン・ブルー>モンスター図鑑/0521]]|なし||
|522|[[ノエルドラゴン・ヴェール>モンスター図鑑/0522]]|なし||
|523|[[アカムギドラ>モンスター図鑑/0523]]|なし||
|524|[[アオムギドラ>モンスター図鑑/0524]]|なし||
|525|[[ミドムギドラ>モンスター図鑑/0525]]|なし||
|526|[[狩人>モンスター図鑑/0526]]|&mons246; &mons166; &mons166; &mons147;|[[最強装備・狩人>モンスター図鑑/0527]]|
|527|[[最強装備・狩人>モンスター図鑑/0527]]|[[究極進化]]||
|528|[[からくり士>モンスター図鑑/0528]]|&mons160; &mons247; &mons234; &mons172; &mons148;|[[最強装備・からくり士>モンスター図鑑/0529]]|
|529|[[最強装備・からくり士>モンスター図鑑/0529]]|[[究極進化]]||
|530|[[フェンサー>モンスター図鑑/0530]]|&mons250; &mons170; &mons170; &mons151;|[[最強装備・フェンサー>モンスター図鑑/0531]]|
|531|[[最強装備・フェンサー>モンスター図鑑/0531]]|[[究極進化]]||
|532|[[狩人【サンタ】>モンスター図鑑/0532]]|&mons160; &mons246; &mons166; &mons166; &mons147;|[[最強装備・狩人【サンタ】>モンスター図鑑/0533]]|
|533|[[最強装備・狩人【サンタ】>モンスター図鑑/0533]]|なし||
|534|[[からくり士【サンタ】>モンスター図鑑/0534]]|&mons160; &mons160; &mons247; &mons234; &mons172;|[[最強装備・からくり士【サンタ】>モンスター図鑑/0535]]|
|535|[[最強装備・からくり士【サンタ】>モンスター図鑑/0535]]|なし||
|536|[[フェンサー【サンタ】>モンスター図鑑/0536]]|&mons160; &mons250; &mons170; &mons170; &mons151;|[[最強装備・フェンサー【サンタ】>モンスター図鑑/0537]]|
|537|[[最強装備・フェンサー【サンタ】>モンスター図鑑/0537]]|なし||
|538|[[アレクサンター>モンスター図鑑/0538]]|&mons160; &mons160; &mons249; &mons249; &mons150;|[[究極召喚・アレクサンター>モンスター図鑑/0539]]|
|539|[[究極召喚・アレクサンター>モンスター図鑑/0539]]|なし||
|540|[[風林火山龍・シンゲン>モンスター図鑑/0540]]|なし||
|541|[[毘沙門龍・ケンシン>モンスター図鑑/0541]]|なし||
|542|[[独眼竜・マサムネ>モンスター図鑑/0542]]|なし||
|543|[[太閤龍・ヒデヨシ>モンスター図鑑/0543]]|なし||
|544|[[第六天魔龍・ノブナガ>モンスター図鑑/0544]]|[[究極進化]]||
|545|[[火の下忍>モンスター図鑑/0545]]|&mons161; &mons161; &mons155;|[[火の中忍>モンスター図鑑/0546]]|
|546|[[火の中忍>モンスター図鑑/0546]]|&mons147; &mons166; &mons171; &mons234; &mons155;|[[火の上忍>モンスター図鑑/1526]]|
|547|[[水の下忍>モンスター図鑑/0547]]|&mons162; &mons162; &mons156;|[[水の中忍>モンスター図鑑/0548]]|
|548|[[水の中忍>モンスター図鑑/0548]]|&mons148; &mons167; &mons172; &mons234; &mons156;|[[水の上忍>モンスター図鑑/1527]]|
|549|[[木の下忍>モンスター図鑑/0549]]|&mons163; &mons163; &mons157;|[[木の中忍>モンスター図鑑/0550]]|
|550|[[木の中忍>モンスター図鑑/0550]]|&mons149; &mons168; &mons173; &mons234; &mons157;|[[木の上忍>モンスター図鑑/1528]]|
|551|[[光の下忍>モンスター図鑑/0551]]|&mons164; &mons164; &mons158;|[[光の中忍>モンスター図鑑/0552]]|
|552|[[光の中忍>モンスター図鑑/0552]]|&mons150; &mons169; &mons174; &mons234; &mons158;|[[光の上忍>モンスター図鑑/1529]]|
|553|[[闇の下忍>モンスター図鑑/0553]]|&mons165; &mons165; &mons159;|[[闇の中忍>モンスター図鑑/0554]]|
|554|[[闇の中忍>モンスター図鑑/0554]]|&mons151; &mons170; &mons175; &mons234; &mons159;|[[闇の上忍>モンスター図鑑/1530]]|
|555|[[望月千代女>モンスター図鑑/0555]]|&mons166; &mons171; &mons171; &mons246; &mons147;|[[紅焔の巫女・望月千代女>モンスター図鑑/0556]]|
|556|[[紅焔の巫女・望月千代女>モンスター図鑑/0556]]|[[究極進化]]||
|557|[[初芽局>モンスター図鑑/0557]]|&mons167; &mons172; &mons172; &mons247; &mons148;|[[蒼扇の夜叉・初芽局>モンスター図鑑/0558]]|
|558|[[蒼扇の夜叉・初芽局>モンスター図鑑/0558]]|[[究極進化]]||
|559|[[猿飛佐助>モンスター図鑑/0559]]|&mons168; &mons173; &mons173; &mons248; &mons149;|[[旋風の神童・猿飛佐助>モンスター図鑑/0560]]|
|560|[[旋風の神童・猿飛佐助>モンスター図鑑/0560]]|[[究極進化]]||
|561|[[風魔小太郎>モンスター図鑑/0561]]|&mons169; &mons174; &mons174; &mons249; &mons150;|[[雷角の頭領・風魔小太郎>モンスター図鑑/0562]]|
|562|[[雷角の頭領・風魔小太郎>モンスター図鑑/0562]]|[[究極進化]]||
|563|[[服部半蔵>モンスター図鑑/0563]]|&mons170; &mons175; &mons175; &mons250; &mons151;|[[朧夜の闇忍・服部半蔵>モンスター図鑑/0564]]|
|564|[[朧夜の闇忍・服部半蔵>モンスター図鑑/0564]]|[[究極進化]]||
|565|[[石川五右衛門>モンスター図鑑/0565]]|&mons166; &mons171; &mons246; &mons147; &mons321;|[[天下の大泥棒・石川五右衛門>モンスター図鑑/0566]]|
|566|[[天下の大泥棒・石川五右衛門>モンスター図鑑/0566]]|[[究極進化]]||
|567|[[アレス>モンスター図鑑/0567]]|&mons171; &mons234; &mons251; &mons246; &mons147;|[[戦軍神・アレス>モンスター図鑑/0568]]|
|568|[[戦軍神・アレス>モンスター図鑑/0568]]|[[究極進化]]||
|569|[[ヘルメス>モンスター図鑑/0569]]|&mons172; &mons234; &mons251; &mons247; &mons148;|[[商業神・ヘルメス>モンスター図鑑/0570]]|
|570|[[商業神・ヘルメス>モンスター図鑑/0570]]|[[究極進化]]||
|571|[[アルテミス>モンスター図鑑/0571]]|&mons173; &mons234; &mons251; &mons248; &mons149;|[[狩猟神・アルテミス>モンスター図鑑/0572]]|
|572|[[狩猟神・アルテミス>モンスター図鑑/0572]]|[[究極進化]]||
|573|[[アポロン>モンスター図鑑/0573]]|&mons174; &mons234; &mons251; &mons249; &mons150;|[[光明神・アポロン>モンスター図鑑/0574]]|
|574|[[光明神・アポロン>モンスター図鑑/0574]]|[[究極進化]]||
|575|[[ペルセポネ>モンスター図鑑/0575]]|&mons175; &mons234; &mons251; &mons250; &mons151;|[[冥府神・ペルセポネ>モンスター図鑑/0576]]|
|576|[[冥府神・ペルセポネ>モンスター図鑑/0576]]|[[究極進化]]||
|577|[[キンムギドラ>モンスター図鑑/0577]]|なし||
|578|[[クロムギドラ>モンスター図鑑/0578]]|なし||
|579|[[ウィルオーウィスプ>モンスター図鑑/0579]]|&mons155; &mons155;|[[焔の霊魂・ウィルオーウィスプ>モンスター図鑑/0580]]|
|580|[[焔の霊魂・ウィルオーウィスプ>モンスター図鑑/0580]]|なし||
|581|[[ケルピー>モンスター図鑑/0581]]|&mons162; &mons156;|[[湖の幻馬・ケルピー>モンスター図鑑/0582]]|
|582|[[湖の幻馬・ケルピー>モンスター図鑑/0582]]|なし||
|583|[[トレント>モンスター図鑑/0583]]|&mons153; &mons157;|[[森の賢人・トレント>モンスター図鑑/0584]]|
|584|[[森の賢人・トレント>モンスター図鑑/0584]]|なし||
|585|[[ピクシー>モンスター図鑑/0585]]|&mons164; &mons158;|[[光の妖精・ピクシー>モンスター図鑑/0586]]|
|586|[[光の妖精・ピクシー>モンスター図鑑/0586]]|なし||
|587|[[ワーウルフ>モンスター図鑑/0587]]|&mons165; &mons159;|[[月夜の魔人・ワーウルフ>モンスター図鑑/0588]]|
|588|[[月夜の魔人・ワーウルフ>モンスター図鑑/0588]]|なし||
|589|[[キングセブンドラゴン>モンスター図鑑/0589]]|なし||
|590|[[キングイレブンドラゴン>モンスター図鑑/0590]]|なし||
|591|[[モーグリ＆カーバンクル>モンスター図鑑/0591]]|&mons249; &mons158;|[[究極召喚・モーグリ＆カーバンクル>モンスター図鑑/0592]]|
|592|[[究極召喚・モーグリ＆カーバンクル>モンスター図鑑/0592]]|[[究極進化]]||
|593|[[エンジェリング>モンスター図鑑/0593]]|なし||
|594|[[アークエンジェリング>モンスター図鑑/0594]]|なし||
|595|[[デビルリング>モンスター図鑑/0595]]|なし||
|596|[[ヘラ・イース>モンスター図鑑/0596]]|&mons251; &mons172; &mons234; &mons148; &mons321;|[[覚醒ヘラ・イース>モンスター図鑑/0597]]|
|597|[[覚醒ヘラ・イース>モンスター図鑑/0597]]|[[究極進化]]||
|598|[[ヘラ・ウルズ>モンスター図鑑/0598]]|&mons251; &mons171; &mons234; &mons147; &mons321;|[[覚醒ヘラ・ウルズ>モンスター図鑑/0599]]|
|599|[[覚醒ヘラ・ウルズ>モンスター図鑑/0599]]|[[究極進化]]||
|600|[[ピカペンドラ>モンスター図鑑/0600]]|&mons152;|[[トパペンドラ>モンスター図鑑/0601]]|
|601&aname(no601);|[[トパペンドラ>モンスター図鑑/0601]]|なし||
|602|[[ヤミペンドラ>モンスター図鑑/0602]]|&mons152;|[[アメペンドラ>モンスター図鑑/0603]]|
|603|[[アメペンドラ>モンスター図鑑/0603]]|なし||
|604|[[メカドン>モンスター図鑑/0604]]|なし||
|605|[[太鼓の達人！どんちゃん>モンスター図鑑/0605]]|&mons604; &mons604; &mons246; &mons249; &mons150;|[[太鼓神どんちゃん>モンスター図鑑/0606]]|
|606|[[太鼓神どんちゃん>モンスター図鑑/0606]]|[[究極進化]]||
|607|[[あついさん>モンスター図鑑/0607]]|&mons147; &mons155; &mons155;|[[メラリ！ あついさん>モンスター図鑑/0608]]|
|608|[[メラリ！ あついさん>モンスター図鑑/0608]]|なし||
|609|[[ホワイトさん>モンスター図鑑/0609]]|&mons162; &mons162; &mons156;|[[うっとり～ん ホワイトさん>モンスター図鑑/0610]]|
|610|[[うっとり～ん ホワイトさん>モンスター図鑑/0610]]|なし||
|611|[[カピバラさん>モンスター図鑑/0611]]|&mons167; &mons168; &mons251;|[[のぼ～ん カピバラさん>モンスター図鑑/0612]]|
|612|[[のぼ～ん カピバラさん>モンスター図鑑/0612]]|なし||
|613|[[ひだまりさん>モンスター図鑑/0613]]|&mons164; &mons152; &mons154;|[[ふらわ～ん ひだまりさん>モンスター図鑑/0614]]|
|614|[[ふらわ～ん ひだまりさん>モンスター図鑑/0614]]|なし||
|615|[[リーゼントくん>モンスター図鑑/0615]]|&mons170; &mons170; &mons159;|[[ブンブン リーゼントくん>モンスター図鑑/0616]]|
|616|[[ブンブン リーゼントくん>モンスター図鑑/0616]]|なし||
|617|[[超キングルビードラゴン>モンスター図鑑/0617]]|なし||
|618|[[超キングサファイアドラゴン>モンスター図鑑/0618]]|なし||
|619|[[超キングエメラルドドラゴン>モンスター図鑑/0619]]|なし||
|620|[[大天使・ウリエル>モンスター図鑑/0620]]|&mons147; &mons150; &mons171; &mons246; &mons249;|[[神炎の熾天使・ウリエル>モンスター図鑑/0621]]|
|621|[[神炎の熾天使・ウリエル>モンスター図鑑/0621]]|[[究極進化]]||
|622|[[大天使・ガブリエル>モンスター図鑑/0622]]|&mons148; &mons150; &mons172; &mons247; &mons249;|[[神託の大天使・ガブリエル>モンスター図鑑/0623]]|
|623|[[神託の大天使・ガブリエル>モンスター図鑑/0623]]|[[究極進化]]||
|624|[[大天使・ミカエル>モンスター図鑑/0624]]|&mons149; &mons150; &mons173; &mons248; &mons249;|[[護法の大天使・ミカエル>モンスター図鑑/0625]]|
|625|[[護法の大天使・ミカエル>モンスター図鑑/0625]]|[[究極進化]]||
|626|[[大天使・ラファエル>モンスター図鑑/0626]]|&mons150; &mons150; &mons174; &mons249; &mons249;|[[神癒の大天使・ラファエル>モンスター図鑑/0627]]|
|627|[[神癒の大天使・ラファエル>モンスター図鑑/0627]]|[[究極進化]]||
|628|[[大天使・ルシファー>モンスター図鑑/0628]]|&mons151; &mons150; &mons175; &mons250; &mons249; |[[黎明の熾天使・ルシファー>モンスター図鑑/0629]]|
|629|[[黎明の熾天使・ルシファー>モンスター図鑑/0629]]|[[究極進化]]||
|630|[[魔神・ベリアル>モンスター図鑑/0630]]|&mons147; &mons151; &mons171; &mons246; &mons250;|[[邪炎の魔神将・ベリアル>モンスター図鑑/0631]]|
|631|[[邪炎の魔神将・ベリアル>モンスター図鑑/0631]]|[[究極進化]]||
|632|[[魔神・アモン>モンスター図鑑/0632]]|&mons148; &mons151; &mons172; &mons247; &mons250;|[[義侠の魔神将・アモン>モンスター図鑑/0633]]|
|633|[[義侠の魔神将・アモン>モンスター図鑑/0633]]|[[究極進化]]||
|634|[[魔神・アスタロト>モンスター図鑑/0634]]|&mons149; &mons151; &mons173; &mons248; &mons250;|[[予見の魔神将・アスタロト>モンスター図鑑/0635]]|
|635|[[予見の魔神将・アスタロト>モンスター図鑑/0635]]|[[究極進化]]||
|636|[[魔神・バアル>モンスター図鑑/0636]]|&mons150; &mons151; &mons174; &mons249; &mons250;|[[閃剣の魔神将・バアル>モンスター図鑑/0637]]|
|637|[[閃剣の魔神将・バアル>モンスター図鑑/0637]]|[[究極進化]]||
|638|[[堕天使・ルシファー>モンスター図鑑/0638]]|&mons151; &mons151; &mons175; &mons250; &mons250;|[[逆心の神魔王・ルシファー>モンスター図鑑/0639]]|
|639|[[逆心の神魔王・ルシファー>モンスター図鑑/0639]]|[[究極進化]]||
|640|[[代行者・メタトロン>モンスター図鑑/0640]]|&mons321; &mons150; &mons234; &mons174; &mons251;|[[神輝の代行者・メタトロン>モンスター図鑑/0641]]|
|641|[[神輝の代行者・メタトロン>モンスター図鑑/0641]]|[[究極進化]]||
|642|[[執行者・メタトロン>モンスター図鑑/0642]]|&mons321; &mons151; &mons234; &mons175; &mons251;|[[神魔の執行者・メタトロン>モンスター図鑑/0643]]|
|643|[[神魔の執行者・メタトロン>モンスター図鑑/0643]]|[[究極進化]]||
|644|[[魔皇子・ベルゼブブ>モンスター図鑑/0644]]|&mons321; &mons151; &mons234; &mons247; &mons251;|[[奈落の狂皇子・ベルゼブブ>モンスター図鑑/0645]]|
|645|[[奈落の狂皇子・ベルゼブブ>モンスター図鑑/0645]]|[[究極進化]]||
|646|[[大魔王・サタン>モンスター図鑑/0646]]|&mons321; &mons151; &mons234; &mons251; &mons247;|[[災禍の魔神王・サタン>モンスター図鑑/0647]]|
|647|[[災禍の魔神王・サタン>モンスター図鑑/0647]]|[[究極進化]]||
|648|[[アテナ>モンスター図鑑/0648]]|&mons321; &mons150; &mons149; &mons251; &mons248;|[[覚醒アテナ>モンスター図鑑/0649]]|
|649|[[覚醒アテナ>モンスター図鑑/0649]]|[[究極進化]]||
|650|[[ゼウス・ディオス>モンスター図鑑/0650]]|&mons321; &mons149; &mons234; &mons251; &mons249;|[[覚醒ゼウス・ディオス>モンスター図鑑/0651]]|
|651|[[覚醒ゼウス・ディオス>モンスター図鑑/0651]]|なし||
|652|[[焔剣の勝利神・フレイ>モンスター図鑑/0652]]|なし||
|653|[[蒼穹の双星神・イズン＆イズーナ>モンスター図鑑/0653]]|なし||
|654|[[緑聖の豊麗神・フレイヤ>モンスター図鑑/0654]]|なし||
|655|[[雷槌の金剛神・トール>モンスター図鑑/0655]]|なし||
|656|[[終焉の狡知神・ロキ>モンスター図鑑/0656]]|なし||
|657|[[天頂の雷霆龍・インドラ>モンスター図鑑/0657]]|なし||
|658|[[深潭の暗黒龍・ヴリトラ>モンスター図鑑/0658]]|なし||
|659|[[パズドロイド>モンスター図鑑/0659]]|&mons227; &mons154; &mons153; &mons152; &mons149;|[[ドロイドラゴン>モンスター図鑑/0660]]|
|660|[[ドロイドラゴン>モンスター図鑑/0660]]|[[究極進化]]||
|661|[[カオスブリザードドラゴン>モンスター図鑑/0661]]|なし||
|662|[[キャシー・クレイジー>モンスター図鑑/0662]]|&mons165; &mons170; &mons153; &mons159;|[[ロマンティック★キャシー>モンスター図鑑/0663]]|
|663|[[ロマンティック★キャシー>モンスター図鑑/0663]]|なし||
|664|[[鵜飼孫六>モンスター図鑑/0664]]|&mons148; &mons167; &mons154; &mons156;|[[蒼翼忍者・鵜飼孫六>モンスター図鑑/0665]]|
|665|[[蒼翼忍者・鵜飼孫六>モンスター図鑑/0665]]|なし||
|666|[[ECO・タイニー・アルマ>モンスター図鑑/0666]]|[[究極進化]]||
|667|[[ECO・ダンプティー>モンスター図鑑/0667]]|&mons154; &mons227; &mons250; &mons175; &mons151;|[[ECO・ダンプティー・アルマ>モンスター図鑑/0668]]|
|668|[[ECO・ダンプティー・アルマ>モンスター図鑑/0668]]|なし||
|669|[[亡国のアポロ>モンスター図鑑/0669]]|&mons147; &mons171; &mons227; &mons155; &mons246;|[[灼炎のアポロ>モンスター図鑑/0670]]|
|670|[[灼炎のアポロ>モンスター図鑑/0670]]|[[究極進化]]||
|671|[[聖龍王サイガ>モンスター図鑑/0671]]|&mons227; &mons227; &mons149; &mons248; &mons249;|[[光龍王サイガ>モンスター図鑑/0672]]|
|672|[[光龍王サイガ>モンスター図鑑/0672]]|[[究極進化]]||
|673|[[バンチャック>モンスター図鑑/0673]]|&mons169; &mons154; &mons158;|[[KOBレオンハート>モンスター図鑑/0674]]|
|674|[[KOBレオンハート>モンスター図鑑/0674]]|なし||
|675|[[コボックル>モンスター図鑑/0675]]|&mons165; &mons152; &mons159;|[[ボックル>モンスター図鑑/0676]]|
|676|[[ボックル>モンスター図鑑/0676]]|なし||
|677|[[カグヤ>モンスター図鑑/0677]]|&mons152; &mons153; &mons157;|[[狂華咲乱 花媛香具耶>モンスター図鑑/0678]]|
|678|[[狂華咲乱 花媛香具耶>モンスター図鑑/0678]]|なし||
|679|[[ウエハーマン>モンスター図鑑/0679]]|なし||
|680|[[聖龍石>モンスター図鑑/0680]]|なし||
|681|[[マネキニャドラ>モンスター図鑑/0681]]|なし||
|682|[[ヘビーメタルドラゴン>モンスター図鑑/0682]]|&mons261; &mons261; &mons261; &mons227; &mons227;|[[龍王・ゼローグ>モンスター図鑑/0683]]|
|683|[[龍王・ゼローグ>モンスター図鑑/0683]]|[[究極進化]]||
|684|[[キングホノりん>モンスター図鑑/0684]]|なし||
|685|[[キングアワりん>モンスター図鑑/0685]]|なし||
|686|[[キングモリりん>モンスター図鑑/0686]]|なし||
|687|[[キングヒカりん>モンスター図鑑/0687]]|なし||
|688|[[キングワルりん>モンスター図鑑/0688]]|なし||
|689|[[荒武者・レッドゴブリン>モンスター図鑑/0689]]|なし||
|690|[[突撃兵・マリンゴブリン>モンスター図鑑/0690]]|なし||
|691|[[重戦士・ホブゴブリン>モンスター図鑑/0691]]|なし||
|692|[[破龍皇帝・グランドジークフリート>モンスター図鑑/0692]]|なし||
|693|[[王狼英雄・ノーブルクーフーリン>モンスター図鑑/0693]]|なし||
|694|[[薔薇戦姫・グレイスヴァルキリー>モンスター図鑑/0694]]|[[究極進化]]||
|695|[[アスカ＆エヴァ2号機>モンスター図鑑/0695]]|&mons147; &mons147; &mons166; &mons160; &mons246;|[[アスカ＆エヴァ改2号機>モンスター図鑑/0696]]|
|696|[[アスカ＆エヴァ改2号機>モンスター図鑑/0696]]|[[究極進化]]||
|697|[[シンジ＆エヴァ初号機>モンスター図鑑/0697]]|&mons148; &mons148; &mons167; &mons160; &mons247;|[[シンジ＆エヴァ初号機・覚醒>モンスター図鑑/0698]]|
|698|[[シンジ＆エヴァ初号機・覚醒>モンスター図鑑/0698]]|[[究極進化]]||
|699|[[マリ＆エヴァ仮設5号機>モンスター図鑑/0699]]|&mons149; &mons149; &mons168; &mons160; &mons248;|[[マリ＆エヴァ8号機>モンスター図鑑/0700]]|
|700|[[マリ＆エヴァ8号機>モンスター図鑑/0700]]|なし||
|701&aname(no701);|[[レイ＆エヴァ零号機>モンスター図鑑/0701]]|&mons150; &mons150; &mons169; &mons160; &mons249;|[[レイ＆エヴァ零号機・特攻>モンスター図鑑/0702]]|
|702|[[レイ＆エヴァ零号機・特攻>モンスター図鑑/0702]]|[[究極進化]]||
|703|[[カヲル＆Mark.06・建造中>モンスター図鑑/0703]]|&mons151; &mons151; &mons170; &mons160; &mons250;|[[カヲル＆Mark.06>モンスター図鑑/0704]]|
|704|[[カヲル＆Mark.06>モンスター図鑑/0704]]|なし||
|705|[[シンジ＆カヲル＆第13号機>モンスター図鑑/0705]]|&mons148; &mons151; &mons321; &mons234; &mons251;|[[シンジ＆カヲル＆第13号機・覚醒>モンスター図鑑/0706]]|
|706|[[シンジ＆カヲル＆第13号機・覚醒>モンスター図鑑/0706]]|[[究極進化]]||
|707|[[第5の使徒>モンスター図鑑/0707]]|&mons147; &mons154; &mons154;|[[第5の使徒・戦闘形態>モンスター図鑑/0708]]|
|708|[[第5の使徒・戦闘形態>モンスター図鑑/0708]]|なし||
|709|[[第6の使徒>モンスター図鑑/0709]]|&mons153; &mons154; &mons158;|[[第6の使徒・戦闘形態>モンスター図鑑/0710]]|
|710|[[第6の使徒・戦闘形態>モンスター図鑑/0710]]|なし||
|711|[[第10の使徒>モンスター図鑑/0711]]|&mons151; &mons321; &mons227; &mons250; &mons251;|[[第10の使徒・戦闘形態>モンスター図鑑/0712]]|
|712|[[第10の使徒・戦闘形態>モンスター図鑑/0712]]|なし||
|713|[[第4の使徒>モンスター図鑑/0713]]|&mons151; &mons153; &mons159;|[[第4の使徒・戦闘形態>モンスター図鑑/0714]]|
|714|[[第4の使徒・戦闘形態>モンスター図鑑/0714]]|なし||
|715|[[灼炎王アポロ>モンスター図鑑/0715]]|なし||
|716|[[完全覚醒・光龍王サイガ>モンスター図鑑/0716]]|なし||
|717|[[ねねこ>モンスター図鑑/0717]]|なし||
|718|[[はまひめ>モンスター図鑑/0718]]|なし||
|719|[[翠天龍・エリュシオン>モンスター図鑑/0719]]|なし||
|720|[[CoC・バーバリアン>モンスター図鑑/0720]]|&mons150; &mons169; &mons158;|[[CoC・レイジバーバリアン>モンスター図鑑/0721]]|
|721|[[CoC・レイジバーバリアン>モンスター図鑑/0721]]|なし||
|722|[[CoC・アーチャー>モンスター図鑑/0722]]|&mons147; &mons154; &mons155;|[[CoC・フレイムアーチャー>モンスター図鑑/0723]]|
|723|[[CoC・フレイムアーチャー>モンスター図鑑/0723]]|なし||
|724|[[CoC・ゴブリン>モンスター図鑑/0724]]|&mons149; &mons157; &mons157;|[[CoC・フォレストゴブリン>モンスター図鑑/0725]]|
|725|[[CoC・フォレストゴブリン>モンスター図鑑/0725]]|なし||
|726|[[CoC・ヒーラー>モンスター図鑑/0726]]|&mons164; &mons158; &mons158;|[[CoC・グロリアスヒーラー>モンスター図鑑/0727]]|
|727|[[CoC・グロリアスヒーラー>モンスター図鑑/0727]]|なし||
