* 真・無限回廊 [#e3e7c440]

|~名称		|~スタミナ|~バトル|~取得コイン|~取得EXP|~EXP効率|
||RIGHT:|RIGHT:|RIGHT:|RIGHT:|RIGHT:|c
|真・無限回廊（テクニカル）	|0|30|0|0|&color(#080){''0''};|

- [[無限回廊>スペシャルダンジョン/無限回廊]]

- 上級者のやり込み要素的なダンジョン。
- [[無限回廊>スペシャルダンジョン/新・無限回廊]]をクリアすると出現。
- クリアすると[[絶・無限回廊>スペシャルダンジョン/絶・無限回廊]]が出現

|~面|~名前	|~ |~属性|~攻撃力|~後|~HP|~防御|~備考|
|~|~|>|>|>|>|>|>|BGCOLOR(#fbfdff):水遁・樹封陣（木属性2～4ターンバインド）&br;烈華扇（3300x2～5の連続攻撃）|
|~|&mons560; %%%[[旋風の神童・猿飛佐助>モンスター図鑑/0560]]%%%	||BGCOLOR(#bbf1a6):木|&color(#b00){''5550''};|&color(#b00){1};|565950|690||
|~|~|>|>|>|>|>|>|BGCOLOR(#fbfdff):木遁・炎滅根（3885ダメージ＆火ドロップ→木ドロップ）&br;忍法・風魔手裏剣（計7770の連続攻撃）==HP75％以下で使用==&br;練武の極意（99ターン攻撃力2倍）==HP40％以下で使用==|
|~|&mons562; %%%[[雷角の頭領・風魔小太郎>モンスター図鑑/0562]]%%%	||BGCOLOR(#f1f1a6):光|&color(#b00){''9150''};|&color(#b00){2};|573450|460||
|~|~|>|>|>|>|>|>|BGCOLOR(#fbfdff):雷遁・雷縛り（1体10ターンバインド）&br;剛雷爪（計13725の連続攻撃）&br;体練法の極意（次回攻撃力5倍）==HP30％以下で使用==|
|~|&mons564; %%%[[朧夜の闇忍・服部半蔵>モンスター図鑑/0564]]%%%	||BGCOLOR(#bba6f1):闇|&color(#b00){''6210''};|&color(#b00){1};|378450|6900||
|~|~|>|>|>|>|>|>|BGCOLOR(#fbfdff):===先制===電光石火（3105）&br;真・影縫いの術（光属性2～4ターンバインド）==HP75％以下で使用==&br;朧連斬（2484x3～6の連続攻撃）==HP50％以下で使用==|
|18|>|>|>|>|>|>|>|BGCOLOR(#ffffff):いずれか1体が出現|
|~|&mons540; %%%[[風林火山龍・シンゲン>モンスター図鑑/0540]]%%%	||BGCOLOR(#f1bba6):火|&color(#b00){''14010''};|&color(#b00){2};|2033400|1120||
|~|~|>|>|>|>|>|>|BGCOLOR(#fbfdff):徐かなること林の如く（999ターン状態異常無効）&br;侵略すること火の如く（連続攻撃21020）==HP60％以下で使用==&br;動かざること山の如く（次回攻撃力2倍）==HP30％以下で使用==|
|~|&mons541; %%%[[毘沙門龍・ケンシン>モンスター図鑑/0541]]%%%	||BGCOLOR(#a6f1f1):水|&color(#b00){''7020''};|&color(#b00){1};|33300|150000||
|~|~|>|>|>|>|>|>|BGCOLOR(#fbfdff):宝塔の加護（999ターン状態異常無効）&br;毘沙門乱舞（連続攻撃12636）==HP50％以下で使用==|
|~|&mons542; %%%[[独眼竜・マサムネ>モンスター図鑑/0542]]%%%	||BGCOLOR(#bbf1a6):木|&color(#b00){''7710''};|&color(#b00){1};|1733400|1680||
|~|~|>|>|>|>|>|>|BGCOLOR(#fbfdff):旋風斬（計9640の連続攻撃）==HP75％以下で使用==&br;突風が巻き起こる（何もしない、烈空一閃と交互に使用）==HP30%以下で使用==&br;烈空一閃（23130）|
|~|&mons543; %%%[[太閤龍・ヒデヨシ>モンスター図鑑/0543]]%%%	||BGCOLOR(#f1f1a6):光|&color(#b00){''-''};|&color(#b00){2};|1838400|1120||
|~|~|>|>|>|>|>|>|BGCOLOR(#fbfdff):雷雲の息吹（3218x3～5の連続攻撃）&br;ドロップ狩り（9009ダメージ＆ランダム1色排除）&br;天下統一（全モンスター2～4ターンバインド）==HP20％以下で使用==|
|~|&mons544; %%%[[第六天魔龍・ノブナガ>モンスター図鑑/0544]]%%%	||BGCOLOR(#bba6f1):闇|&color(#b00){''23220''};|&color(#b00){3};|2333400|560||
|~|~|>|>|>|>|>|>|BGCOLOR(#fbfdff):天魔龍の咆哮（ドラゴンタイプ2～4ターンバインド）==HP75％以下で使用==&br;三段龍砲（連続攻撃41796）==HP30％以下で使用==|
|19|>|>|>|>|>|>|>|BGCOLOR(#ffffff):いずれか4体が出現|
|~|&mons579; %%%[[ウィルオーウィスプ>モンスター図鑑/0579]]%%%	||BGCOLOR(#f1bba6):火|&color(#b00){''20400''};|&color(#b00){2};|30450|54000||
|~|~|>|>|>|>|>|>|BGCOLOR(#fbfdff):ファイアボール（25500）==HP25％以下で使用==|
|~|&mons581; %%%[[ケルピー>モンスター図鑑/0581]]%%%	||BGCOLOR(#a6f1f1):水|&color(#b00){''40200''};|&color(#b00){2};|30450|54000||
|~|~|>|>|>|>|>|>|BGCOLOR(#fbfdff):水馬の嘶き（6ターン攻撃力2倍）|
|~|&mons583; %%%[[トレント>モンスター図鑑/0583]]%%%	||BGCOLOR(#bbf1a6):木|&color(#b00){''63150''};|&color(#b00){5};|37950|54000||
|~|~|>|>|>|>|>|>|BGCOLOR(#fbfdff):絡みつく根（3体1～3ターンバインド）==HP25％以下で使用==|
|~|&mons585; %%%[[ピクシー>モンスター図鑑/0585]]%%%	||BGCOLOR(#f1f1a6):光|&color(#b00){''3060''};|&color(#b00){2};|12|600000||
|~|~|>|>|>|>|>|>|BGCOLOR(#fbfdff):妖精のいたずら（2448ダメージ＆ランダム1色排除）先制、2回に1度&br;眠りのまじない（2体2ターンバインド）==HP25％以下で使用==|
|~|&mons587; %%%[[ワーウルフ>モンスター図鑑/0587]]%%%	||BGCOLOR(#bba6f1):闇|&color(#b00){''3510''};|&color(#b00){2};|20|600000||
|~|~|>|>|>|>|>|>|BGCOLOR(#fbfdff):怒りの遠吠え（1体の時、10ターン攻撃力3倍）&br;ウルフコンボ（連続攻撃4390）==HP70％以下で使用==|
|20|>|>|>|>|>|>|>|BGCOLOR(#ffffff):いずれか2～3体が出現|
|~|&mons788; %%%[[迷宮の獣人・ミノタウロス>モンスター図鑑/0788]]%%%	||BGCOLOR(#f1bba6):火|&color(#b00){''11040''};|&color(#b00){3};|527250|300||
|~|~|>|>|>|>|>|>|BGCOLOR(#fbfdff):クイックスタンプ（先制2208ダメージ）&br;フルスイング（16560）==HP40％以下で使用==&br;羽交い絞め（1体10ターンバインド、1度きり）==HP10％以下で使用==|
|~|&mons790; %%%[[魔眼の怪鳥・コカトリス>モンスター図鑑/0790]]%%%	||BGCOLOR(#a6f1f1):水|&color(#b00){''8010''};|&color(#b00){2};|302250|300||
|~|~|>|>|>|>|>|>|BGCOLOR(#fbfdff):コンフューズアイ（先制・ランダム2色排除）&br;スネークヴァイト（連続攻撃10414）&br;魔眼の瞳（2体4ターンバインド、1度きり）==HP30％以下で使用==|
|~|&mons792; %%%[[疾駆の人馬・ケンタウロス>モンスター図鑑/0792]]%%%	||BGCOLOR(#bbf1a6):木|&color(#b00){''4740''};|&color(#b00){1};|152250|15000||
|~|~|>|>|>|>|>|>|BGCOLOR(#fbfdff):疾風突き（先制攻撃2844）&br;孤軍奮闘（1体の時、999ターン攻撃力3倍）&br;五月雨突き（1659x3～4の連続攻撃）&br;踏み込み（474）==HP30％以下で使用==&br;クリティカルチャージ（9480）==HP30％以下で使用==|
|~|&mons794; %%%[[雷光の巨漢・サイクロプス>モンスター図鑑/0794]]%%%	||BGCOLOR(#f1f1a6):光|&color(#b00){''15090''};|&color(#b00){3};|902250|0||
|~|~|>|>|>|>|>|>|BGCOLOR(#fbfdff):ヘビーブロウ（残りHP75％ダメージ）&br;武器を振り上げた（何もしない、ギガインパクトと交互に使用）==HP50％以下で使用==&br;ギガインパクト（30180）|
|~|&mons796; %%%[[魅惑の夜魔・ダークレディ>モンスター図鑑/0796]]%%%	||BGCOLOR(#bba6f1):闇|&color(#b00){''5760''};|&color(#b00){1};|317250|300||
|~|~|>|>|>|>|>|>|BGCOLOR(#fbfdff):ダークワールド（先制・ドロップが見えなくなる）&br;ブラッディネイル（連続攻撃7488）==HP70％以下で使用==&br;チャーム（5体1～2ターンバインド、1度きり）==HP30％以下で使用==|
|21|>|>|>|>|>|>|>|BGCOLOR(#ffffff):いずれか1体が出現|
|~|&mons782; %%%[[神秘の巨石龍・バールベック>モンスター図鑑/0782]]%%%	||BGCOLOR(#f1bba6):火|&color(#b00){''14220''};|&color(#b00){2};|2189400|820||
|~|~|>|>|>|>|>|>|BGCOLOR(#fbfdff):トリリトンの重圧（残りHP99％ダメージ）先制、3回に1度&br;メテオスウォーム（2844x5～7の連続攻撃）==HP30％以下で使用==|
|~|&mons783; %%%[[神秘の天体龍・アンティキティラ>モンスター図鑑/0783]]%%%	||BGCOLOR(#a6f1f1):水|&color(#b00){''8370''};|&color(#b00){1};|2106150|820||
|~|~|>|>|>|>|>|>|BGCOLOR(#fbfdff):古代の英知（先制・999ターン状態異常無効）&br;恵みの水星（6696ダメージ＆ランダム1色→水ドロップ）&br;厄災の凶星（残りHP50％ダメージ）&br;ギア・インパクト（10463）&br;コンステレーションブラスト（連続攻撃15072）==HP30％以下で使用==|
|~|&mons784; %%%[[神秘の絵画龍・ナスカ>モンスター図鑑/0784]]%%%	||BGCOLOR(#bbf1a6):木|&color(#b00){''-''};|&color(#b00){1};|2488650|0||
|~|~|>|>|>|>|>|>|BGCOLOR(#fbfdff):先制の地上絵・ハチドリ（先制攻撃7515）&br;強奪の地上絵・モンキー（4008ダメージ＆ランダム1色排除）&br;束縛の地上絵・スパイダー（1体3ターンバインド）&br;猛襲の地上絵・コンドル（連続攻撃7515）&br;狩猟の地上絵・ハウンド（3ターン攻撃力2倍）&br;重圧の地上絵・ホエール（残りHP99％ダメージ）==HP30％以下で使用==&br;痛恨の地上絵・タイタン（10020）==HP30％以下で使用==|
|~|&mons785; %%%[[神秘の結晶龍・クリスタルスカル>モンスター図鑑/0785]]%%%	||BGCOLOR(#f1f1a6):光|&color(#b00){''11760''};|&color(#b00){2};|1158200|35000||
|~|~|>|>|>|>|>|>|BGCOLOR(#fbfdff):虚ろなる眼光（先制・ドロップが見えなくなる）&br;水晶の呪光（2体3ターンバインド）&br;クリスタルファング（連続攻撃14112）&br;神秘の虚光（17640ダメージ＆ランダム1色排除）==HP40％以下で使用==|
|~|&mons786; %%%[[神秘の円盤龍・ネブラディスク>モンスター図鑑/0786]]%%%	||BGCOLOR(#bba6f1):闇|&color(#b00){''-''};|&color(#b00){1};|35|600000||
|~|~|>|>|>|>|>|>|BGCOLOR(#fbfdff):古代の英知（先制・999ターン状態異常無効）&br;プレアデスの殲光（3カウント後、計101640の連続攻撃）|
|22|&mons645; %%%[[奈落の狂皇子・ベルゼブブ>モンスター図鑑/0645]]%%%	||BGCOLOR(#bba6f1):闇水|&color(#b00){''12861''};|&color(#b00){1};|4865763|670||
|~|~|>|>|>|>|>|>|BGCOLOR(#fbfdff):どけどけどけぇ～！！（先制攻撃9003）&br;くらいやがれっ！（ドロップ5つ→毒ドロップ）&br;デッドリードライブ！（連続攻撃15432）==HP75％以下で使用==&br;もう容赦しねぇ！（毒ドロップの有無で変化、1度きり）==HP40％以下で使用==&br;　※毒ドロップがある場合：6431ダメージ＆毒ドロップ→闇ドロップ&br;　※毒ドロップがない場合：残りHP50％ダメージ&br;毒の海に沈めぇ！！（全ドロップ→毒ドロップ）==HP40％以下で使用==|
|23|>|>|>|>|>|>|>|BGCOLOR(#ffffff):いずれか2体が出現|
|~|&mons475; %%%[[火炎獄・パイロデーモン>モンスター図鑑/0475]]%%%	||BGCOLOR(#f1bba6):火|&color(#b00){''6792''};|&color(#b00){1};|563611|800||
|~|~|>|>|>|>|>|>|BGCOLOR(#fbfdff):ウォーターバインド&br;イビルスラッシュ（連続攻撃12228）==HP35％以下で使用==|
|~|&mons476; %%%[[氷結獄・フロストデーモン>モンスター図鑑/0476]]%%%	||BGCOLOR(#a6f1f1):水|&color(#b00){''6694''};|&color(#b00){1};|560139|800||
|~|~|>|>|>|>|>|>|BGCOLOR(#fbfdff):リーフバインド&br;イビルスラッシュ（連続攻撃12048）==HP35％以下で使用==|
|~|&mons477; %%%[[樹海獄・タウロスデーモン>モンスター図鑑/0477]]%%%	||BGCOLOR(#bbf1a6):木|&color(#b00){''6583''};|&color(#b00){1};|556667|800||
|~|~|>|>|>|>|>|>|BGCOLOR(#fbfdff):ファイアバインド&br;イビルスラッシュ（連続攻撃11850）==HP35％以下で使用==|
|~|&mons478; %%%[[光天獄・ハーピィデーモン>モンスター図鑑/0478]]%%%	||BGCOLOR(#f1f1a6):光|&color(#b00){''6903''};|&color(#b00){1};|570556|800||
|~|~|>|>|>|>|>|>|BGCOLOR(#fbfdff):ダークバインド&br;イビルスラッシュ（連続攻撃12426）==HP35％以下で使用==|
|~|&mons479; %%%[[闇地獄・ブラッドデーモン>モンスター図鑑/0479]]%%%	||BGCOLOR(#bba6f1):闇|&color(#b00){''7000''};|&color(#b00){1};|574028|800||
|~|~|>|>|>|>|>|>|BGCOLOR(#fbfdff):フラッシュバインド&br;イビルスラッシュ（連続攻撃12600）==HP35％以下で使用==|
|24|&mons646; %%%[[大魔王・サタン>モンスター図鑑/0646]]%%%	||BGCOLOR(#bba6f1):闇|&color(#b00){''6005''};|&color(#b00){1};|6666666|368||
|~|~|>|>|>|>|>|>|BGCOLOR(#fbfdff):魔王の眼光（先制攻撃6005）&br;悪魔の結界（999ターン状態異常無効）&br;虚無の波動（補助スキル解除）&br;ワールドエンド（連続攻撃64854）3回に1度|
|25|>|>|>|>|>|>|>|BGCOLOR(#ffffff):いずれか1体が出現|
|~|&mons737; %%%[[緋石龍・ヒヒイロカネ>モンスター図鑑/0737]]%%%	||BGCOLOR(#f1bba6):火光|&color(#b00){''11583''};|&color(#b00){2};|2087222|2800||
|~|~|>|>|>|>|>|>|BGCOLOR(#fbfdff):ミスティックアーマー（先制・20ターン状態異常無効）&br;<火>レッドテイル（17375）&br;<光>ダークバインド&br;<光>イエローホーン（20270）&br;<光>メタルバースト（計28960の連続攻撃）==HP10％以下で使用==|
|~|&mons738; %%%[[蒼石龍・ミスリル>モンスター図鑑/0738]]%%%	||BGCOLOR(#a6f1f1):水木|&color(#b00){''6375''};|&color(#b00){1};|1740000|2800||
|~|~|>|>|>|>|>|>|BGCOLOR(#fbfdff):ミスティックアーマー（先制・20ターン状態異常無効）&br;<水>ブルーファング（計9564の連続攻撃）&br;<木>ファイアバインド&br;<木>グリーンウイング（計9562の連続攻撃）&br;<木>メタルバースト（計15940の連続攻撃）==HP10％以下で使用==|
|~|&mons739; %%%[[翠石龍・アダマント>モンスター図鑑/0739]]%%%	||BGCOLOR(#bbf1a6):木闇|&color(#b00){''17833''};|&color(#b00){3};|1045555|11200||
|~|~|>|>|>|>|>|>|BGCOLOR(#fbfdff):ミスティックアーマー（先制・20ターン状態異常無効）&br;<木>グリーンウイング（計26750の連続攻撃）&br;<闇>フラッシュバインド&br;<闇>ブラッククロウ（計28532の連続攻撃）&br;<闇>メタルバースト（計44585の連続攻撃）==HP10％以下で使用==|
|~|&mons740; %%%[[虹石龍・オリハルコン>モンスター図鑑/0740]]%%%	||BGCOLOR(#f1f1a6):光水|&color(#b00){''10958''};|&color(#b00){2};|2260833|2800||
|~|~|>|>|>|>|>|>|BGCOLOR(#fbfdff):ミスティックアーマー（先制・20ターン状態異常無効）&br;<光>イエローホーン（19177）&br;<水>リーフバインド&br;<水>ブルーファング（計16437の連続攻撃）&br;<水>メタルバースト（計27395の連続攻撃）==HP10％以下で使用==|
|~|&mons741; %%%[[紫石龍・ダマスカス>モンスター図鑑/0741]]%%%	||BGCOLOR(#bba6f1):闇火|&color(#b00){''19917''};|&color(#b00){3};|2434444|2800||
|~|~|>|>|>|>|>|>|BGCOLOR(#fbfdff):ミスティックアーマー（先制・20ターン状態異常無効）&br;<闇>ブラッククロウ（計31868の連続攻撃）&br;<火>ウォーターバインド&br;<火>レッドテイル（29876）&br;<火>メタルバースト（計49795の連続攻撃）==HP10％以下で使用==|
|26|&mons221; %%%[[ベルセルク>モンスター図鑑/0221]]%%%	||BGCOLOR(#a6f1f1):水|&color(#b00){''14085''};|&color(#b00){2};|1117076|66||
|~|~|>|>|>|>|>|>|BGCOLOR(#fbfdff):超・ファイアバインド（火属性10ターンバインド、初回1度きり）&br;一刀両断（28170）==HP25％以下で使用==|
|~|&mons223; %%%[[ハイランダー>モンスター図鑑/0223]]%%%	||BGCOLOR(#bbf1a6):木|&color(#b00){''8181''};|&color(#b00){1};|533920|22000||
|~|~|>|>|>|>|>|>|BGCOLOR(#fbfdff):ダークネスフラッシュ（ドロップが見えなくなる、初回1度きり）&br;ミリオンスラスト（3272x3～6の連続攻撃）==HP75％以下で使用==|
|27|&mons226; %%%[[白盾の女神・ヴァルキリー>モンスター図鑑/0226]]%%%	||BGCOLOR(#f1f1a6):光|&color(#b00){''-''};|&color(#b00){1};|2722378|2400||
|~|~|>|>|>|>|>|>|BGCOLOR(#fbfdff):乙女の白盾（10ターン状態異常無効）&br;グレイプニール（2体5ターンバインド）&br;ダブルスラッシュ（2回攻撃12594）&br;リザレクション（HP全回復）==HP50％以下で使用==&br;ヴァルキュリアブレイド（5667x4～5の連続攻撃）==HP40％以下で使用==|
|28|&mons648; %%%[[アテナ>モンスター図鑑/0648]]%%%	||BGCOLOR(#f1f1a6):光木|&color(#b00){''9292''};|&color(#b00){1};|4197639|1150||
|~|~|>|>|>|>|>|>|BGCOLOR(#fbfdff):よくぞここまで来ました！（先制・プレイヤーのHP全回復）&br;イージスの盾（999ターン状態異常無効）&br;<光>シャイニングスピア（7434ダメージ＆ランダム1色→光ドロップ）&br;<木>ストームパニッシャー（連続攻撃11148）&br;<木>終わりにしましょう！（次回からスターバースト、1度きり）==HP15％以下で使用==&br;<木>スターバースト（連続攻撃92920）|
|29|>|>|>|>|>|>|>|BGCOLOR(#ffffff):いずれか1体が出現|
|~|&mons596; %%%[[ヘラ・イース>モンスター図鑑/0596]]%%%	||BGCOLOR(#a6f1f1):水|&color(#b00){''19708''};|&color(#b00){1};|2364306|460||
|~|~|>|>|>|>|>|>|BGCOLOR(#fbfdff):アイスコフィン（5体を1～2ターンバインド、初回1度きり）&br;フリーズブラスト（連続攻撃23650）==HP75％以下で使用==&br;神のいたずら（ランダム2色排除、1度きり）==HP55％以下で使用==&br;クリスタルコフィン（3体を2～3ターンバインド、1度きり）==HP40％以下で使用==|
|~|&mons599; %%%[[覚醒ヘラ・ウルズ>モンスター図鑑/0599]]%%%	||BGCOLOR(#f1bba6):火闇|&color(#b00){''20153''};|&color(#b00){1};|2365763|670||
|~|~|>|>|>|>|>|>|BGCOLOR(#fbfdff):神々の守り（先制・999ターン状態異常無効）&br;<火>永劫の渇き（水属性10ターンバインド、1度きり）&br;<火>フレイムピラー（計27207の連続攻撃）&br;<闇>ハイキック（34260）&br;<闇>魔力を解放した（次回からグラビトンボム使用、1度きり）==HP25％以下で使用==&br;<闇>グラビトンボム（120918）|
|30|&mons917; %%%[[超覚醒ゼウス>モンスター図鑑/0917]]%%%	||BGCOLOR(#f1f1a6):光|&color(#b00){''15694''};|&color(#b00){1};|3338056|6800||
|~|~|>|>|>|>|>|>|BGCOLOR(#fbfdff):神の雷（23541）==HP75％以下で使用==&br;神王の眼光（神タイプ2～4ターンバインド）==HP50％以下で使用==&br;スーパーノヴァ（計39240の連続攻撃）==HP20％以下で使用==|

- 攻撃ターン数は表記より1ターン前後することがあります
- ドロップ報告はコメント欄を参照してください

//||	||BGCOLOR(#f1bba6):火|&color(#b00){''?''};|&color(#b00){?};||||
//||	||BGCOLOR(#a6f1f1):水|&color(#b00){''?''};|&color(#b00){?};||||
//||	||BGCOLOR(#bbf1a6):木|&color(#b00){''?''};|&color(#b00){?};||||
//||	||BGCOLOR(#f1f1a6):光|&color(#b00){''?''};|&color(#b00){?};||||
//||	||BGCOLOR(#bba6f1):闇|&color(#b00){''?''};|&color(#b00){?};||||

** チーム編成例 [#me485941]

- 29Fで覚醒ヘラ・ウルズを引いてしまうと先制状態異常無効で威嚇が使えない。ヘラ・イースの方が楽なことが多い。

|~Ver|~チーム編成（左右がリーダー）|~HP|~石|~備考|
|||RIGHT:|RIGHT:||c
|v6.1|&mons752; &mons597; &mons201; &mons804; &mons694; &mons752;|19770|0|威嚇・攻撃態勢は適宜使用。&br;サタンで四神乱舞x2を使用。ヘラ･イースで威嚇を使用。&br;超覚醒ゼウスでギガグラ・四神乱舞x2を使用。|
|v6.1|&mons754; &mons397; &mons597; &mons986; &mons201; &mons754;|23278|0|威嚇・威圧は適宜使用。&br;ヘラ･イースで威嚇を使用。&br;超覚醒ゼウスでギガグラx2を使用。|
|v6.3|&mons995; &mons201; &mons597; &mons987; &mons917; &mons999;|18121|0|威嚇は適宜使用。&br;ヘラ･イース、ベルゼブブで威嚇を使用。&br;超覚醒ゼウスでラースとギガグラを使用。|
|v7.1|&mons1535; &mons1267; &mons1255; &mons1346; &mons891; &mons1535;|18000|0|12の歴龍～14のキマイラまでの3連戦と29のウルズ戦以外は安定する。フレのみ+297。&br;基本的に光闇の敵でスキル貯め。エンハ→陣変換orダブル攻撃態勢の2ターン攻撃がメイン火力。&br;後半の流れは蠅→デーモン2匹はスキルで突破。サタンで再度スキル貯め。&br;魔石→勇者はスキルで突破→ヴァルでスキル貯め&br;アテナもスキルで突破→ヘラsをスキルで突破（無降りptだとウルズは3列ないと厳しい）&br;蠅もアテナもワンパンするには厳しいので適度に削ってからスキルで一気に倒す事。|

//| |&mons00;| | | |


* コメント [#j9334029]

#pcomment

RIGHT:&color(#dc143c){事前に[[コメントポリシー]]を参照してください。};
