* リーダースキル [#e57a0767]

- リーダーと助っ人のモンスターのみ効果を発動する。
|&font2(80%){みこまいのごくい};巫女舞の極意		|>|[バランス]|バランスタイプのHPと攻撃力が2倍。|紅焔の巫女・望月千代女|&aname(ls0556,full,super){ls0556};|
|&font2(80%){みこまいのひでん};巫女舞の秘伝		|>|[バランス]|バランスタイプのHPが2倍、攻撃力は2.5倍。|紅焔の舞巫女・望月千代女|&aname(ls1191,full,super){ls1191};|
|みこまいのひでん		|>|[バランス]|バランスタイプのHPが2倍、攻撃力は2.5倍。|紅焔の舞巫女・ミニちよめ|&aname(ls2020,full,super){ls2020};|
|&font2(80%){ぼくのちからをみせてやる};僕の力を見せてやる		|>|[バランス]|バランスタイプのHPと攻撃力が2倍。|水無月ヨウ|&aname(ls1278,full,super){ls1278};|
|&font2(80%){しょうぶをかける！};勝負をかける！		|>|[バランス]|バランスタイプのHPが2倍、攻撃力は2.5倍。|ヨウ＆カイゼルジークフリート|&aname(ls1279,full,super){ls1279};|
|&font2(80%){まけんぐらむ・あるまでる};魔剣グラム・アルマデル	|>|[バランス]|バランスタイプのHPが1.5倍、攻撃力は2.5倍。|神羅聖魔神アーク|&aname(ls1975,full,super){ls1975};|
|&font2(80%){きょくげいこんばっと};曲芸コンバット		|>|[バランス]|バランスタイプのHPが1.5倍、攻撃力は2.5倍。|バットガール＆バットウーマン&br;自警団員・Bガール＆Bウーマン|&aname(ls1685,full,super){ls1685};|
|&font2(80%){いじでもかってみせるぜ};意地でも勝ってみせるぜ	|>|[バランス]|バランスタイプのHPが1.35倍、攻撃力は2.5倍。|ヤムチャ&br;地球戦士・ヤムチャ|&aname(ls1406,full,super){ls1406};|
|&font2(80%){とりっくすたーのいたずら};トリックスターの悪戯	|>|[バランス]|バランスタイプのHPが1.35倍、攻撃力は3倍。|暗躍の狡知神・ロキ|&aname(ls1348,full,super){ls1348};|
|&font2(80%){すいぎょくのきしどう};翠玉の騎士道		|>|[バランス]|バランスタイプのHPと攻撃力が2倍。|緑騎士・デルガド&br;紅嵐の鎧騎士・デルガド|&aname(ls1653,full,super){ls1653};|
|&font2(80%){げんきのおまじない};元気のおまじない		|>|[バランス]|バランスタイプのHPと攻撃力が2倍。|神創樹の聖霊・アルラウネ|&aname(ls1102,full,super){ls1102};|
|&font2(80%){ふたりはなかよし♪};ふたりは仲良し♪		|>|[バランス]|バランスタイプのHPと攻撃力が2倍。|キティン＆ミミーナ&br;リンゴの泉のキティン＆ミミーナ|&aname(ls1146,full,super){ls1146};|
|&font2(80%){きょうかにんじゅつ・れい};強化忍術・礼		|>|[バランス]|バランスタイプのHPと攻撃力が1.5倍。|木の上忍|&aname(ls1528,full,super){ls1528};|
|&font2(80%){ひょうりゅうするたびびと};漂流する旅人		|>|[バランス]|バランスタイプのHPと攻撃力が1.5倍。|AB・ハル&br;AB・グリーンバード・ハル|&aname(ls0952,full,super){ls0952};|
|&font2(80%){ふしぎなつむぎいと};不思議な紡ぎ糸		|>|[バランス]|バランスタイプのHPと回復力が1.5倍。|ねむり姫|&aname(ls1420,full,super){ls1420};|
|&font2(80%){ふしのひりょく};不死の秘力		|>|[バランス]|バランスタイプのHPと回復力が1.5倍。|DDQ・スケルトン&br;DDQ・スケルトンロード|&aname(ls0848,full,super){ls0848};|
|ジース!!!		|>|[バランス]|バランスタイプの攻撃力が1.5倍。|ジース|&aname(ls1386,full,super){ls1386};|
|ちっ…しょうがないな……	|>|[バランス]|バランスタイプの攻撃力と回復力が1.5倍。|ギニュー特戦隊・ジース|&aname(ls1387,full,super){ls1387};|
|ヒーローストライク		|>|[バランス]|バランスタイプの攻撃力と回復力が1.5倍。|ABE・フェンサー・レッド&br;ABE・ナイト・レッド|&aname(ls1632,full,super){ls1632};|
|&font2(80%){きょうかにんじゅつ・じん};強化忍術・仁		|>|[バランス]|バランスタイプの攻撃力と回復力が1.5倍。|火の上忍|&aname(ls1526,full,super){ls1526};|
|&font2(80%){どんのさばいばるじゅつ};ドンのサバイバル術		|>|[バランス]|バランスタイプの攻撃力と回復力が1.5倍。|ドン・ドモヴォイ|&aname(ls0816,full,super){ls0816};|
|&font2(80%){わがままひめのめいれい};我がまま姫の命令		|>|[バランス]|バランスタイプの攻撃力と回復力が1.5倍。|ケリ姫|&aname(ls0500,full,super){ls0500};|
|&font2(80%){わがままひめのあいじょう};我がまま姫の愛情		|>|[バランス]|バランスタイプの全パラメータが1.5倍。|アン・パント・ケットバス&br;恋するアン・パント・ケットバス|&aname(ls0501,full,super){ls0501};|
|&font2(80%){しんけんしょうぶ、です};真剣勝負、です		|>|[バランス]|バランスタイプの攻撃力と回復力が1.5倍。|沖田リオナ|&aname(ls1284,full,super){ls1284};|
|&font2(80%){…………そういうの、すき};…………そういうの、好き	|>|[バランス]|バランスタイプの全パラメータが1.5倍。|リオナ＆大海の歌姫・セイレーン|&aname(ls1285,full,super){ls1285};|
|そこをどけ!!		|>|[バランス]|HP満タン時、バランスタイプの攻撃力が4倍。|黄金聖闘士・星矢|&aname(ls1438,full,super){ls1438};|
|&font2(80%){もえろてんば!!};燃えろ天馬!!		|>|[バランス]|HP満タン時、バランスタイプの攻撃力が4倍。|黄金聖闘士・射手座の星矢|&aname(ls1439,full,super){ls1439};|
|ウルフズビート		|>|[バランス]|HP80％以上で、バランスタイプの攻撃力が3.5倍。|皇狼英雄・イグニスクーフーリン|&aname(ls1209,full,super){ls1209};|
|&font2(80%){そうせいのしんこう};創世の神効		|>|[バランス]|総HPが半減するが、バランスタイプの攻撃力が4倍。|皇妃神・イザナミ&br;万物の妃神・イザナミ|&aname(ls0811,full,super){ls0811};|
|レッドエフェクト		|>|[体力]|体力タイプのHPが2倍。|OCTOPUS&br;OCTOPUS Ver.2|&aname(ls0762,full,super){ls0762};|
|&font2(80%){よろいのしろ};鎧の城			|>|[体力]|体力タイプのHPが2.5倍。|究極召喚・アレクサンター|&aname(ls0539,full,super){ls0539};|
|ハイラッキー		|>|[体力]|体力タイプのHPが2.5倍((ver5.2で2倍→2.5倍に修正))。|マスターリング|&aname(ls0228,full,super){ls0228};|
|スーパーラッキー		|>|[体力]|体力タイプのHPが2.5倍、攻撃力は1.5倍。|キングマスターリング|&aname(ls1317,full,super){ls1317};|
|&font2(80%){きょうせんしのいかり};狂戦士の怒り		|>|[体力]|体力タイプの攻撃力が2倍。|ベルセルク|&aname(ls0221,full,super){ls0221};|
|ドラゴンブラッド		|>|[体力]|体力タイプの攻撃力が2.5倍。|蒼剣の覇王・ジークフリート|&aname(ls0222,full,super){ls0222};|
|ブラッディカイザー		|>|[体力]|体力タイプの攻撃力が3倍。|破龍皇帝・グランドジークフリート|&aname(ls0692,full,super){ls0692};|
|うぬぼれやがって……!	|>|[体力]|体力タイプの攻撃力が1.5倍。|ザーボン|&aname(ls1380,full,super){ls1380};|
|&font2(80%){わらわせるんじゃない!!};笑わせるんじゃない!!	|>|[体力]|体力タイプの攻撃力が2倍。|フリーザの側近・ザーボン|&aname(ls1381,full,super){ls1381};|
|&font2(80%){きょじんのたましい};巨人の魂			|>|[体力]|体力タイプの攻撃力が2倍。|グレンデルサンタン|&aname(ls0818,full,super){ls0818};|
|&font2(80%){おうちょくぞくごえいぐん};王直属護衛軍		|>|[体力]|体力タイプの攻撃力が2.5倍。|ユピー&br;形態変化・ユピー|&aname(ls1035,full,super){ls1035};|
|リクーム!!!		|>|[体力]|体力タイプの攻撃力が1.5倍。|リクーム|&aname(ls1382,full,super){ls1382};|
|&font2(80%){あのよにおくってやるぜ!!!};あの世に送ってやるぜ!!!	|>|[体力]|体力タイプのHPと攻撃力が1.5倍。|ギニュー特戦隊・リクーム|&aname(ls1383,full,super){ls1383};|
|&font2(80%){きょうかにんじゅつ・ち};強化忍術・智		|>|[体力]|体力タイプのHPと攻撃力が1.5倍。|光の上忍|&aname(ls1529,full,super){ls1529};|
|&font2(80%){きょじゅうのひりょく};巨獣の秘力		|>|[体力]|体力タイプのHPと攻撃力が1.5倍。|DDQ・ベヘモット&br;DDQ・キングベヘモット|&aname(ls0846,full,super){ls0846};|
|&font2(80%){らんぎょくのきしどう};藍玉の騎士道		|>|[体力]|体力タイプのHPと攻撃力が2倍。|魔騎士・クレーゼ&br;蒼対剣の鎧騎士・クレーゼ|&aname(ls1657,full,super){ls1657};|
|&font2(80%){あとらんてぃすのあるじ};アトランティスの主		|>|[体力]|体力タイプのHPと攻撃力が2倍。|アクアマン&br;アトランティスの王・アクアマン|&aname(ls1679,full,super){ls1679};|
|&font2(80%){しゅちょうのほこり};首長の誇り		|>|[体力]|体力タイプのHPと攻撃力が2倍。|フルングニル&br;絶対零度フルングニル|&aname(ls0819,full,super){ls0819};|
|キングスマック		|>|[体力]|体力タイプのHPと攻撃力が2倍。|ABE・ガード・ピグ&br;ABE・ロイヤルガード・ピグ|&aname(ls1642,full,super){ls1642};|
|ディープシータイド		|>|[体力]|体力タイプのHPと攻撃力が2倍。|溟海の大悪魔・クラーケン|&aname(ls1211,full,super){ls1211};|
|グランド・ウェーブ		|>|[体力]|体力タイプのHPと攻撃力が2倍。|鎧羅王ポラリス|&aname(ls2246,full,super){ls2246};|
|&font2(80%){おうはふうじん};央覇封神			|>|[体力]|体力タイプのHPと攻撃力が2倍。&br;攻撃タイプの攻撃力が1.2倍。|完全覚醒・鎧羅王ポラリス|&aname(ls2247,full,super){ls2247};|
|しんらばんしょ〜ん		|>|[体力]|体力タイプのHPと攻撃力が2倍。&br;回復タイプの攻撃力が1.2倍。|ポラリスとカピバラさん|&aname(ls2248,full,super){ls2248};|
|&font2(80%){なぞのりんご};謎のリンゴ		|>|[体力]|体力タイプのHPと回復力が1.5倍。|白雪姫|&aname(ls1414,full,super){ls1414};|
|&font2(80%){がんじょうなかぼちゃ};頑丈なカボチャ		|>|[体力]|体力タイプのHPと回復力が1.5倍。|シンデレラ|&aname(ls1418,full,super){ls1418};|
|&font2(80%){たいれんほうのこころえ};体練法の心得		|>|[体力]|体力タイプの攻撃力と回復力が1.5倍。|風魔小太郎|&aname(ls0561,full,super){ls0561};|
|&font2(80%){たいれんほうのごくい};体練法の極意		|>|[体力]|体力タイプの全パラメータが1.5倍。|雷角の頭領・風魔小太郎|&aname(ls0562,full,super){ls0562};|
|&font2(80%){たいれんほうのひでん};体練法の秘伝		|>|[体力]|体力タイプのHPと回復力が1.5倍、攻撃力は2倍。|轟雷角の頭領・風魔小太郎|&aname(ls1194,full,super){ls1194};|
|&font2(80%){じゅうにてんしのりりょく};12天使の理力		|>|[体力]|体力タイプのHPと回復力が1.2倍、攻撃力は3倍。|ヘラクライスト&br;覚醒ヘラクオーディン&br;光槍の聖ボット・ヘラクオーディン|&aname(ls1499,full,super){ls1499};|
|&font2(80%){しょうりをわがてに};勝利を我が手に		|>|[体力]|体力タイプの攻撃力と回復力が1.5倍。|パトリシア・エゼル|&aname(ls1288,full,super){ls1288};|
|&font2(80%){これがきしのほこりだ};これが騎士の誇りだ	|>|[体力]|体力タイプの全パラメータが1.5倍。|パトリシア＆ヴァルキリー|&aname(ls1289,full,super){ls1289};|
|ワイルドソウル		|>|[体力]|体力タイプの全パラメータが1.5倍。|グリムロック&br;グリムクリストル|&aname(ls1124,full,super){ls1124};|
|シャドウミスト		|>|[体力]|体力タイプの全パラメータが1.5倍。|ファントムチェイサー|&aname(ls0905,full,super){ls0905};|
|オーバーヒート		|>|[体力]|体力タイプのHPと攻撃力が2倍。|フレイムチェイサー|&aname(ls0897,full,super){ls0897};|
|ハイドロシェル		|>|[体力]|体力タイプのHPと回復力が2倍。|アクアチェイサー|&aname(ls0899,full,super){ls0899};|
|エアロストリーム		|>|[体力]|体力タイプの攻撃力と回復力が2倍。|ウィンドチェイサー|&aname(ls0901,full,super){ls0901};|
|&font2(80%){めっきゃくのえんけん};滅却の炎剣		|>|[体力]|体力タイプのHPと攻撃力が2倍。攻撃を受けると、火属性で反撃。|スルト&br;覚醒スルト|&aname(ls2397,full,super){ls2397};|
|&font2(80%){むそうのかりゅうど};無双の狩人		|>|[体力]|体力タイプの攻撃力と回復力が2.5倍。|オウガネコ&br;ジンオウガ＆オウガネコ|&aname(ls2341,full,super){ls2341};|
|&font2(80%){しょうりゅうぞくのけっとう};晶龍族の血統		|>|[体力]|体力タイプの攻撃力と回復力が2.5倍。|水龍喚士・ソニア&br;永劫の水龍喚士・ソニア|&aname(ls1088,full,super){ls1088};|
|&font2(80%){しょうりゅうぞくのしんずい};晶龍族の神髄		|>|[ドラゴン]&br;[体力]|ドラゴンと体力タイプの攻撃力と回復力が2.5倍。&br;水を5個以上つなげると攻撃力が1.5倍。|隔世の蒼龍喚士・ソニア|&aname(ls2566,full,super){ls2566};|
|サンダーウェポン		|>|[体力]|HP満タン時、体力タイプの攻撃力が2.5倍。|ライトニングチェイサー|&aname(ls0903,full,super){ls0903};|
|ドラゴニックブライト	|>|[体力]|HP99％以下((ver6.5でHP80%以上→HP99%以下に修正))で、体力タイプの攻撃力が3.5倍。|輝龍皇帝・バスタージークフリート|&aname(ls1208,full,super){ls1208};|
|&font2(80%){ぶとうしんのふじづる};武刀神の藤蔓		|>|[体力]|HP99％以下((ver6.4でHP80%以下→HP99%以下に修正))で、体力タイプの攻撃力が3.5倍。|タケミナカタ&br;冶金の軍神・タケミナカタ|&aname(ls0809,full,super){ls0809};|
|ギガンティックフォース	|>|[体力]|HP50％以下((ver6.4でHP20%以下→HP50%以下に修正))で、体力タイプの攻撃力が4倍。|ヘラクレス&br;試練の剛神・ヘラクレス|&aname(ls1097,full,super){ls1097};|
|&font2(80%){よみのおきて};黄泉の掟			|>|[体力]|総HPが半減するが、体力タイプの攻撃力が4倍。|黄泉神・イザナミ&br;黄泉の主神・イザナミ|&aname(ls0813,full,super){ls0813};|
|&font2(80%){あんこくへのもうしゅう};暗黒への妄執		|>|[体力]|総回復力が半減するが、体力タイプの攻撃力が4倍。|暗黒騎士・グラヴィス&br;骸甲の暗黒騎士・グラヴィス|&aname(ls1647,full,super){ls1647};|
|&font2(80%){いちもんじみつぼしのしんもん};一文字三星の神紋		|>|[体力]|体力タイプのHPが1.5倍。&br;スキル使用時、体力タイプの攻撃力が4倍。|毛利元就&br;稀代の智謀神・毛利元就|&aname(ls2266,full,super){ls2266};|
|グリーンエフェクト		|>|[攻撃]|攻撃タイプのHPが2倍。|SQUID&br;SQUID Ver.2|&aname(ls0766,full,super){ls0766};|
|&font2(80%){きょうしゃへのちゅうせい};強者への忠誠		|>|[攻撃]|攻撃タイプのHPが2倍。|ラモット&br;コルト隊兵隊長・ラモット|&aname(ls1039,full,super){ls1039};|
|&font2(80%){しゅうげきたいせい};襲撃態勢			|>|[攻撃]|攻撃タイプのHPが2倍。|パイク&br;愛の放射線・パイク|&aname(ls1047,full,super){ls1047};|
|&font2(80%){ぼうぎょじんけい};防御陣形			|>|[攻撃]|攻撃タイプのHPが2倍。|重戦士・ホブゴブリン|&aname(ls0691,full,super){ls0691};|
|&font2(80%){かいふくじんけい};回復陣形			|>|[攻撃]|攻撃タイプの回復力が2倍。|突撃兵・マリンゴブリン|&aname(ls0690,full,super){ls0690};|
|&font2(80%){とつげきじんけい};突撃陣形			|>|[攻撃]|攻撃タイプの攻撃力が2倍。|荒武者・レッドゴブリン&br;ディノライダー&br;ビーストライダー&br;マリンライダー&br;ドラゴンライダー&br;グリプスライダー|&aname(ls0378,full,super){ls0378};|
|むずむずパウダー		|>|[攻撃]|攻撃タイプの攻撃力が2倍。|ABE・遊び人・ブルース&br;ABE・アーチャー・ブルース|&aname(ls1634,full,super){ls1634};|
|&font2(80%){あくまのぐんぜい};悪魔の軍勢		|>|[攻撃]|攻撃タイプの攻撃力が2倍。|火炎獄・パイロデーモン&br;氷結獄・フロストデーモン&br;樹海獄・タウロスデーモン&br;光天地・ハーピィデーモン&br;闇地獄・ブラッドデーモン|&aname(ls0475,full,super){ls0475};|
|&font2(80%){はいすいのじん};背水の陣			|>|[攻撃]|攻撃タイプの攻撃力が2.5倍。|ディノライダー・ドレーク&br;ディノライダー・ワイルドドレーク&br;ビーストライダー・マーリン&br;ビーストライダー・ウィズマーリン&br;マリンライダー・ロビン&br;マリンライダー・バードロビン&br;ドラゴンライダー・アーサー&br;ドラゴンライダー・キングアーサー&br;グリプスライダー・フィン&br;グリプスライダー・ベクターフィン|&aname(ls0379,full,super){ls0379};|
|&font2(80%){すぴーどたっきゅうどう};スピード達急動		|>|[攻撃]|攻撃タイプの攻撃力が2.5倍。|スサノオ王子|&aname(ls1477,full,super){ls1477};|
|&font2(80%){ばくそうかすたーと！};爆装化開始！		|>|[攻撃]|攻撃タイプの攻撃力が2.5倍。|ミコト爆神|&aname(ls1478,full,super){ls1478};|
|&font2(80%){おれのなをいってみろ!!};おれの名をいってみろ!!	|>|[攻撃]|攻撃タイプの攻撃力が2.5倍。|ジャギ&br;暴虐の徒・ジャギ|&aname(ls1850,full,super){ls1850};|
|ラウンドスラッシュ		|>|[攻撃]|攻撃タイプの攻撃力が2.5倍。|ウォル|&aname(ls2049,full,super){ls2049};|
|レディアントソード		|>|[攻撃]|攻撃タイプの攻撃力が3倍。|黎明のナイト・ウォル|&aname(ls2050,full,super){ls2050};|
|ルナティックレクイエム	|>|[攻撃]|攻撃タイプの攻撃力が3倍。|月光牙の魔女・リリス|&aname(ls1105,full,super){ls1105};|
|るなてぃっくれくいえむ	|>|[攻撃]|攻撃タイプの攻撃力が3倍。|月光牙の魔女・ミニりりす|&aname(ls1784,full,super){ls1784};|
|コール・オブ・ガイア	|>|[攻撃]|攻撃タイプの攻撃力が3.5倍、回復力は0.5倍。|ガイア&br;覚醒ガイア|&aname(ls1222,full,super){ls1222};|
|&font2(80%){いあいぎり};居合い斬り		|>|[攻撃]|攻撃タイプの攻撃力が3倍、回復力は1.5倍。|セフィロス|&aname(ls2031,full,super){ls2031};|
|&font2(80%){はっとういっせん};八刀一閃			|>|[攻撃]|攻撃タイプの攻撃力が3倍、回復力は1.5倍。&br;4属性以上同時攻撃で攻撃力が1.5倍。|堕ちた英雄・セフィロス|&aname(ls2032,full,super){ls2032};|
|&font2(80%){はじゃのしんねん};破邪の神念		|>|[攻撃]|攻撃タイプの攻撃力が3倍、回復力は1.35倍。|斬魔閃神・スサノオノミコト|&aname(ls1556,full,super){ls1556};|
|&font2(80%){かいちょうっぽいとっしん};怪鳥っぽい突進		|>|[攻撃]|攻撃タイプの攻撃力が2.5倍、回復力は1.35倍。|クックネコ&br;イャンクック＆クックネコ|&aname(ls1605,full,super){ls1605};|
|さあこいよ!		|>|[攻撃]|攻撃タイプの攻撃力が2.5倍、回復力は1.5倍。|天津飯&br;地球戦士・天津飯|&aname(ls1408,full,super){ls1408};|
|&font2(80%){こびろ～!!こびろ～!!};媚びろ～!!媚びろ～!!	|>|[攻撃]|攻撃タイプの攻撃力が2倍、回復力は1.5倍。|アミバ&br;偽りの北斗神拳・アミバ|&aname(ls1852,full,super){ls1852};|
|ウォリアー・プリンセス	|>|[攻撃]|攻撃タイプの攻撃力と回復力が2倍。|ワンダーウーマン&br;アテナの知恵・ワンダーウーマン|&aname(ls1687,full,super){ls1687};|
|うんこたれじゃないーっ!!!!	|>|[攻撃]|攻撃タイプの攻撃力と回復力が2.5倍。|ウーブ&br;南の島の少年・ウーブ|&aname(ls1940,full,super){ls1940};|
|&font2(80%){わたしとうみにでないか？};私と海に出ないか？		|>|[攻撃]|攻撃タイプの攻撃力と回復力が2.5倍。|楽園の緑龍喚士・ソニア|&aname(ls2287,full,super){ls2287};|
|&font2(80%){ようせいのはな};妖精の花			|>|[攻撃]|攻撃タイプのHPと回復力が1.5倍。|おやゆび姫|&aname(ls1416,full,super){ls1416};|
|&font2(80%){きょうかにんじゅつ・しん};強化忍術・信		|>|[攻撃]|攻撃タイプのHPと攻撃力が1.5倍。|闇の上忍|&aname(ls1530,full,super){ls1530};|
|ブレイバー		|>|[攻撃]|攻撃タイプのHPと攻撃力が1.5倍。|クラウド|&aname(ls2029,full,super){ls2029};|
|&font2(80%){きょうふのしんしょく};恐怖の浸食		|>|[攻撃]|攻撃タイプのHPと攻撃力が1.5倍。|第9の使徒&br;第9の使徒・戦闘形態|&aname(ls1204,full,super){ls1204};|
|&font2(80%){りゅうじんのひりょく};龍人の秘力		|>|[攻撃]|攻撃タイプのHPと攻撃力が1.5倍。|DDQ・リザードマン&br;DDQ・ドラゴニュート|&aname(ls0844,full,super){ls0844};|
|&font2(80%){こうぎょくのきしどう};紅玉の騎士道		|>|[攻撃]|攻撃タイプのHPと攻撃力が2倍。|赤騎士・ニム&br;蒼炎の鎧騎士・ニム|&aname(ls1649,full,super){ls1649};|
|スピードフォースオーラ	|>|[攻撃]|攻撃タイプのHPと攻撃力が2倍。|フラッシュ&br;深紅のスピードスター・フラッシュ|&aname(ls1683,full,super){ls1683};|
|イモータルフレイム		|>|[攻撃]|攻撃タイプのHPと攻撃力が2倍。|久遠の不死鳥・フェニックス|&aname(ls1210,full,super){ls1210};|
|ハンティングゲイル		|>|[攻撃]|攻撃タイプのHPと攻撃力が2倍。|王家の狩猟獣・グリフォン|&aname(ls1212,full,super){ls1212};|
|ヘルハウリング		|>|[攻撃]|攻撃タイプのHPと攻撃力が2倍。|冥界の闇番犬・ケルベロス|&aname(ls1214,full,super){ls1214};|
|&font2(80%){ほんかくてきなばかだぜ！};本格的なバカだぜ！	|>|[攻撃]|攻撃タイプの攻撃力が1.5倍。|プイプイ|&aname(ls1572,full,super){ls1572};|
|&font2(80%){このいのちつきるまで!!};この命つきるまで!!		|>|[攻撃]|攻撃タイプの攻撃力が2倍。|シュウ|&aname(ls1870,full,super){ls1870};|
|&font2(80%){こんどはてめえのばんだ};今度はてめえの番だ!!	|>|[攻撃]|攻撃タイプの攻撃力が2.5倍。|レイ|&aname(ls1866,full,super){ls1866};|
|&font2(80%){ひしょうはくれい};飛翔白麗			|>|[攻撃]|攻撃タイプのHPが1.5倍、攻撃力は2.5倍。|南斗水鳥拳・レイ|&aname(ls1867,full,super){ls1867};|
|&font2(80%){あ～きこえんなぁ};あ～聞こえんなぁ		|>|[攻撃]|攻撃タイプのHPが1.5倍、攻撃力は2倍。|ウイグル&br;獄長・ウイグル|&aname(ls1854,full,super){ls1854};|
|バータ!!!		|>|[攻撃]|攻撃タイプの攻撃力が1.5倍。|バータ|&aname(ls1384,full,super){ls1384};|
|ア…アタマにきたぜ…!	|>|[攻撃]|攻撃タイプの攻撃力と回復力が1.5倍。|ギニュー特戦隊・バータ|&aname(ls1385,full,super){ls1385};|
|&font2(80%){げきおこ};激おこ			|>|[攻撃]|攻撃タイプの攻撃力と回復力が1.5倍。|AB・レッド&br;AB・レッドバード・レッド|&aname(ls0948,full,super){ls0948};|
|&font2(80%){れんぶのこころえ};練武の心得		|>|[攻撃]|攻撃タイプの攻撃力が1.5倍。|猿飛佐助|&aname(ls0559,full,super){ls0559};|
|&font2(80%){れんぶのごくい};練武の極意		|>|[攻撃]|攻撃タイプのHPと攻撃力が2倍。|旋風の神童・猿飛佐助|&aname(ls0560,full,super){ls0560};|
|&font2(80%){れんぶのひでん};練武の秘伝		|>|[攻撃]|攻撃タイプのHPが2倍、攻撃力は2.5倍。|時津風の神童・猿飛佐助|&aname(ls1193,full,super){ls1193};|
|&font2(80%){みつりんのあんさつしゃ};密林の暗殺者		|>|[攻撃]|攻撃タイプのHPが2倍、攻撃力は2.5倍。|ナルガネコ&br;ナルガクルガ＆ナルガネコ|&aname(ls2339,full,super){ls2339};|
|&font2(80%){ちょうせのへいほう};超世の兵法		|>|[攻撃]|攻撃タイプのHPが1.35倍、攻撃力は3倍。|曹操&br;求覇の武王神・曹操&br;覇征の龍武王・曹操|&aname(ls1231,full,super){ls1231};|
|&font2(80%){ちょうせのついきゅう};超世の追求		|>|[攻撃]|攻撃タイプのHPが1.35倍、攻撃力は3倍。|ミニ曹操&br;求覇の武王神・ミニ曹操|&aname(ls1811,full,super){ls1811};|
|&font2(80%){ちょうてんのおうい};超天の王威		|>|[攻撃]|攻撃タイプのHPが1.35倍、攻撃力は3倍。&br;スキル使用時、回復力が1.5倍。|統覇の武王神・曹操|&aname(ls1739,full,super){ls1739};|
|&font2(80%){らいせんしんのきょうしゅう};雷戦神の強襲		|>|[攻撃]|攻撃タイプのHPが1.35倍、攻撃力は3倍。|奪還の雷戦神・トール|&aname(ls1347,full,super){ls1347};|
|&font2(80%){まこくのれいめい};魔刻の黎明		|>|[攻撃]|攻撃タイプのHPが1.35倍、攻撃力は3倍。|創獄の神魔王・ルシファー|&aname(ls1553,full,super){ls1553};|
|&font2(80%){てんまのせいごふ};天魔の聖護符		|>|[攻撃]|ドラゴンタイプの回復力が1.5倍。&br;攻撃タイプの攻撃力が3.5倍。|月龍喚士・サツキ&br;禍時の月龍喚士・サツキ|&aname(ls2149,full,super){ls2149};|
|&font2(80%){はちもんのこころえ};八門の心得		|>|[攻撃]|攻撃タイプの攻撃力と回復力が1.5倍。|服部半蔵|&aname(ls0563,full,super){ls0563};|
|&font2(80%){はちもんのごくい};八門の極意		|>|[攻撃]|攻撃タイプの全パラメータが1.5倍。|朧夜の闇忍・服部半蔵|&aname(ls0564,full,super){ls0564};|
|&font2(80%){はちもんのひでん};八門の秘伝		|>|[攻撃]|攻撃タイプのHPと回復力が1.5倍、攻撃力は2倍。|朧月夜の幻影・服部半蔵|&aname(ls1195,full,super){ls1195};|
|&font2(80%){いっちょはじめようぜ！};いっちょ始めようぜ！	|>|[攻撃]|攻撃タイプの攻撃力と回復力が1.5倍。|武田ムラクモ|&aname(ls1282,full,super){ls1282};|
|&font2(80%){おれこそがさいきょうだ！};俺こそが最強だ！		|>|[攻撃]|攻撃タイプの全パラメータが1.5倍。|ムラクモ＆剛腕の巨人・ギガンテス|&aname(ls1283,full,super){ls1283};|
|&font2(80%){とうぞくのあかし};盗賊のあかし		|>|[攻撃]|攻撃タイプの全パラメータが1.5倍。|ジタン|&aname(ls2037,full,super){ls2037};|
|シフトブレイク		|>|[攻撃]|攻撃タイプの全パラメータが1.5倍。&br;木を4個以上つなげると攻撃力が1.5倍。|トランス・ジタン|&aname(ls2038,full,super){ls2038};|
|&font2(80%){ねるふしよう};NERV仕様		|>|[攻撃]|攻撃タイプの全パラメータが1.5倍。|シンジ＆エヴァ初号機&br;シンジ＆エヴァ初号機・覚醒&br;シンジ＆初号機・第1覚醒形態|&aname(ls0697,full,super){ls0697};|
|&font2(80%){せいしきしよう};制式仕様			|>|[攻撃]|攻撃タイプのHPと攻撃力が2倍。|アスカ＆エヴァ2号機&br;アスカ＆エヴァ改2号機|&aname(ls0695,full,super){ls0695};|
|&font2(80%){こーどとりぷるせぶん};コード777			|>|[攻撃]|攻撃タイプのHPが2倍、攻撃力は2.5倍。|アスカ＆エヴァ改2号機・コード777|&aname(ls1200,full,super){ls1200};|
|&font2(80%){かいそうしよう};改装仕様			|>|[攻撃]|攻撃タイプのHPと回復力が2倍。|レイ＆エヴァ零号機&br;レイ＆エヴァ零号機・特攻&br;レイ＆零号機・コア融合|&aname(ls0701,full,super){ls0701};|
|&font2(80%){きょくちしよう};局地仕様			|>|[攻撃]|攻撃タイプの攻撃力と回復力が2倍。|マリ＆エヴァ仮設5号機|&aname(ls0699,full,super){ls0699};|
|ヴィレカスタム		|>|[攻撃]|攻撃タイプの攻撃力と回復力が2倍。|マリ＆エヴァ8号機|&aname(ls0700,full,super){ls0700};|
|&font2(80%){ぜーれのひせき};ゼーレの秘蹟		|>|[攻撃]|攻撃タイプの攻撃力と回復力が2倍。|カヲル＆Mark.06・建造中&br;カヲル＆Mark.06|&aname(ls0703,full,super){ls0703};|
